cellID,SSB,statisticalError,DSB,statisticalError
27,3e-06,5.87941e-06,2e-07,3.91961e-07
36,3.92e-05,6.12353e-05,2e-06,3.91961e-06
75,3.92e-05,3.68945e-05,4e-07,5.54261e-07
78,0.0001072,0.000119066,3.2e-06,5.22918e-06
139,1.84e-05,3.13803e-05,2e-07,3.91961e-07
314,1.9e-05,3.72363e-05,2e-07,3.91961e-07
343,3.84e-05,3.89693e-05,6e-07,8.76381e-07
365,1.52e-05,1.34362e-05,0,0
382,5.4e-06,1.05829e-05,0,0
389,1.78e-05,3.48845e-05,1.2e-06,2.35176e-06
528,1.6e-06,3.13569e-06,0,0
539,4.26e-05,4.31163e-05,1e-06,1.4131e-06
581,8.4e-06,1.64624e-05,0,0
640,1.08e-05,1.51284e-05,0,0
666,2.46e-05,3.03995e-05,8e-07,1.10852e-06
696,2.54e-05,3.05604e-05,2e-07,3.91961e-07
725,6.26e-05,4.09999e-05,1.4e-06,1.29954e-06
734,5e-06,9.79902e-06,0,0
746,3.8e-06,6.38043e-06,0,0
773,1.8e-06,3.52765e-06,0,0
810,8.08e-05,5.26877e-05,1.2e-06,1.35752e-06
938,6.12e-05,5.30943e-05,1.4e-06,1.95962e-06
1029,5.24e-05,8.52654e-05,4e-07,7.83922e-07
1081,8.28e-05,0.00015463,3e-06,5.87941e-06
1257,7.04e-05,5.37301e-05,1.8e-06,1.70796e-06
1286,2e-06,3.91961e-06,0,0
1386,3.26e-05,2.32165e-05,0,0
1406,6e-06,8.47863e-06,0,0
1426,1.36e-05,2.4066e-05,6e-07,1.17588e-06
1428,1.6e-06,3.13569e-06,0,0
1472,4.8e-06,9.40706e-06,0,0
1514,4.22e-05,5.06456e-05,2.6e-06,3.52726e-06
1600,8.6e-06,9.76568e-06,0,0
1627,2.7e-05,3.44366e-05,6e-07,1.17588e-06
1779,2.56e-05,2.78202e-05,2e-07,3.91961e-07
1795,7.4e-06,1.45025e-05,0,0
1801,5e-06,6.70853e-06,0,0
1896,5.84e-05,5.72655e-05,1.4e-06,1.79595e-06
2013,6.32e-05,6.79507e-05,2.2e-06,3.57077e-06
2048,7.76e-05,0.000152081,2.2e-06,4.31157e-06
2061,7.38e-05,5.45145e-05,6e-07,6.7876e-07
2078,2.36e-05,2.53173e-05,4e-07,5.54261e-07
2113,1.76e-05,2.59504e-05,4e-07,5.54261e-07
2123,6.2e-06,1.21508e-05,0,0
2197,2.1e-05,2.9321e-05,2e-07,3.91961e-07
2227,6.3e-05,4.42928e-05,6e-07,1.17588e-06
2251,6.64e-05,5.37826e-05,1.6e-06,1.83811e-06
2350,4.82e-05,4.36009e-05,8e-07,1.23941e-06
2355,5.7e-05,4.99162e-05,2e-06,3.18414e-06
2557,1.96e-05,2.85813e-05,2e-07,3.91961e-07
2566,2.82e-05,2.87607e-05,2e-07,3.91961e-07
2652,1.56e-05,2.31605e-05,6e-07,1.17588e-06
2664,1.26e-05,1.47624e-05,0,0
2670,4.38e-05,4.42377e-05,1e-06,1.17567e-06
2683,3.04e-05,3.55347e-05,6e-07,8.76381e-07
2716,1.34e-05,2.30051e-05,4e-07,7.83922e-07
2740,2.74e-05,3.01999e-05,4e-07,7.83922e-07
2792,3.34e-05,3.50033e-05,6e-07,8.76381e-07
2823,3.28e-05,4.56148e-05,1e-06,1.4131e-06
2860,4.32e-05,4.36137e-05,1.8e-06,2.85337e-06
2867,4.72e-05,5.71283e-05,1.6e-06,2.7715e-06
2869,5.2e-06,1.0191e-05,0,0
2938,1.98e-05,2.40339e-05,0,0
2939,5.9e-05,7.01336e-05,8e-07,1.23941e-06
2948,4.86e-05,4.28397e-05,1.6e-06,2.47883e-06
2962,3.16e-05,4.42092e-05,1.4e-06,1.95962e-06
2963,4.4e-06,8.62314e-06,0,0
3007,2.68e-05,2.6841e-05,4e-07,7.83922e-07
3054,3.34e-05,3.1869e-05,0,0
3070,3e-06,5.87941e-06,0,0
3130,2.6e-06,5.09549e-06,0,0
3178,4.2e-05,3.65868e-05,0,0
3179,2.7e-05,2.4994e-05,0,0
3251,4.42e-05,3.10479e-05,6e-07,8.76381e-07
3252,4.32e-05,3.83332e-05,4e-07,5.54261e-07
3254,2.68e-05,2.80668e-05,4e-07,7.83922e-07
3255,4.8e-06,9.40706e-06,0,0
3311,2.02e-05,3.9588e-05,0,0
3321,9.04e-05,6.1005e-05,1.2e-06,1.23917e-06
3329,1.66e-05,2.28426e-05,2e-07,3.91961e-07
3349,1.2e-06,2.35176e-06,0,0
3379,1e-06,1.9598e-06,0,0
3408,7.18e-05,5.21216e-05,1.4e-06,1.41284e-06
3412,1.4e-05,2.00305e-05,0,0
3437,2.38e-05,2.39029e-05,2e-07,3.91961e-07
3495,2.28e-05,2.25439e-05,8e-07,9.59944e-07
3522,6.02e-05,4.68352e-05,4e-07,5.54261e-07
3549,2.4e-06,4.70353e-06,0,0
3564,9.42e-05,9.51007e-05,2.6e-06,3.52726e-06
3602,1.22e-05,1.89635e-05,0,0
3605,7.4e-05,6.53461e-05,4e-07,7.83922e-07
3609,4.72e-05,6.81504e-05,1.4e-06,2.74373e-06
3629,8.06e-05,0.000148305,2.6e-06,5.09549e-06
3654,2.76e-05,2.69033e-05,6e-07,1.17588e-06
3656,3e-05,2.58824e-05,4e-07,5.54261e-07
3661,5.42e-05,4.16006e-05,6e-07,6.7876e-07
3690,5.2e-06,1.0191e-05,2e-07,3.91961e-07
3708,4.02e-05,7.00101e-05,2.8e-06,5.48745e-06
3710,6.2e-06,1.03773e-05,0,0
3716,1.8e-05,2.31658e-05,4e-07,7.83922e-07
3756,1.66e-05,1.84849e-05,2e-07,3.91961e-07
3774,6.9e-05,5.18407e-05,1e-06,1.4131e-06
3776,2.06e-05,4.0372e-05,6e-07,1.17588e-06
3782,9.36e-05,7.19426e-05,1.4e-06,1.70825e-06
3789,3.92e-05,5.14347e-05,1e-06,1.61602e-06
3819,1.26e-05,2.46935e-05,2e-07,3.91961e-07
3886,4.56e-05,3.84752e-05,0,0
3909,2.34e-05,3.14536e-05,4e-07,7.83922e-07
3950,4.64e-05,4.8991e-05,8e-07,1.10852e-06
3960,4.1e-05,3.78449e-05,2e-07,3.91961e-07
4068,0.0001344,0.000229887,3.2e-06,6.27137e-06
4071,1.46e-05,1.74602e-05,2e-07,3.91961e-07
4081,3.64e-05,3.02612e-05,6e-07,1.17588e-06
4085,7.84e-05,5.28942e-05,1.6e-06,1.56737e-06
4111,4.2e-06,8.23118e-06,0,0
4117,2.36e-05,2.5619e-05,1.2e-06,2.35176e-06
4123,2.1e-05,4.11559e-05,2e-07,3.91961e-07
4125,0.0001062,0.000119445,4.4e-06,6.31963e-06
4126,3e-06,5.87941e-06,0,0
4139,2.08e-05,2.09485e-05,2e-07,3.91961e-07
4141,5.2e-06,1.0191e-05,2e-07,3.91961e-07
4176,1.86e-05,2.1129e-05,2e-07,3.91961e-07
4200,4.88e-05,4.55768e-05,1.8e-06,2.50953e-06
4208,3.84e-05,7.52565e-05,2.6e-06,5.09549e-06
4219,4.6e-06,9.0151e-06,0,0
4226,8.8e-06,1.68588e-05,0,0
4228,8.78e-05,5.05337e-05,6e-07,8.76381e-07
4249,7.6e-06,9.03907e-06,0,0
4261,1.8e-05,2.24653e-05,2e-07,3.91961e-07
4267,1.08e-05,2.11659e-05,0,0
4274,3.06e-05,2.69949e-05,8e-07,1.10852e-06
4275,1.48e-05,2.90051e-05,2e-07,3.91961e-07
4288,3.72e-05,6.35343e-05,1.2e-06,2.35176e-06
4306,2.38e-05,2.0832e-05,0,0
4309,1.12e-05,1.32666e-05,0,0
4341,0.0001708,0.000147592,4.2e-06,5.33051e-06
4344,5.88e-05,7.52361e-05,1e-06,1.4131e-06
4347,1.04e-05,2.0382e-05,6e-07,1.17588e-06
4375,4.34e-05,6.32878e-05,1.6e-06,3.13569e-06
4384,2.76e-05,5.03231e-05,6e-07,1.17588e-06
4412,0.0001194,8.04066e-05,2.2e-06,1.79533e-06
4425,2.06e-05,1.82643e-05,1e-06,1.29982e-06
4444,3.16e-05,5.43016e-05,8e-07,1.56784e-06
4446,5.4e-06,1.05829e-05,0,0
4451,3e-06,5.87941e-06,0,0
4466,2.96e-05,3.55352e-05,6e-07,1.17588e-06
4482,1.28e-05,2.50855e-05,2e-07,3.91961e-07
4492,3.78e-05,7.40806e-05,6e-07,1.17588e-06
4498,2.22e-05,2.24932e-05,8e-07,1.23941e-06
4506,1.2e-05,2.35176e-05,2e-07,3.91961e-07
4507,8.78e-05,7.27648e-05,2.2e-06,2.38366e-06
4515,7.36e-05,6.80376e-05,1.4e-06,1.51771e-06
4520,5.4e-06,1.05829e-05,0,0
4523,4.4e-06,8.62314e-06,0,0
4527,3.28e-05,4.92902e-05,2.4e-06,4.32927e-06
4553,5.74e-05,0.000102029,2.6e-06,5.09549e-06
4565,3.42e-05,4.56527e-05,1e-06,1.61602e-06
4566,5.62e-05,5.58008e-05,1.2e-06,1.99854e-06
4576,1.56e-05,2.10836e-05,0,0
4582,3.2e-06,6.27137e-06,0,0
4583,0.0002456,0.000281251,7.8e-06,9.71888e-06
4586,6.14e-05,4.8237e-05,8e-07,9.59944e-07
4589,1.32e-05,1.8299e-05,0,0
4590,6.86e-05,5.39843e-05,2e-07,3.91961e-07
4597,7.4e-06,1.45025e-05,0,0
4606,5.6e-06,1.09749e-05,0,0
4612,7.8e-06,1.52865e-05,6e-07,1.17588e-06
4614,4.4e-06,6.12202e-06,2e-07,3.91961e-07
4618,5.6e-06,1.09749e-05,2e-07,3.91961e-07
4622,1.6e-05,2.0037e-05,0,0
4638,2.6e-06,5.09549e-06,0,0
4642,8.8e-06,1.72463e-05,0,0
4647,2.9e-05,3.00662e-05,2e-07,3.91961e-07
4653,1.54e-05,2.41766e-05,2e-07,3.91961e-07
4659,4.6e-06,9.0151e-06,0,0
