cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
27,6.48659,17.9781,97.2988,269.672
36,2.01101,4.43822,39.4159,73.4243
75,0.407327,0.670909,39.918,51.7204
78,3.48725,6.50266,116.823,166.872
139,0.627967,1.55699,57.7729,131.935
314,0.555129,1.33765,52.7373,127.077
343,0.588329,1.04323,37.6531,53.7886
365,0,0,29.5424,43.4602
382,0,0,210.884,584.482
389,3.14532,8.71751,46.6556,129.31
528,0,0,2.19386,5.23976
539,0.891845,1.4524,37.9926,49.2391
581,0,0,103.437,286.685
640,0,0,36.5328,65.6231
666,4.83929,8.32245,148.808,238.309
696,0.863705,2.01291,109.691,191.197
725,0.911386,1.18811,40.752,45.8667
734,0,0,37.0759,94.2554
746,0,0,11.7428,27.9495
773,0,0,122.759,340.236
810,0.951371,1.27741,64.059,62.3811
938,2.03412,3.28106,88.92,105.032
1029,0.447817,0.991452,58.664,112.974
1081,3.54504,9.64386,97.843,259.741
1257,2.57258,3.0626,100.616,105.498
1286,0,0,48.701,134.979
1386,0,0,13.0791,14.3088
1406,0,0,188.122,375.846
1426,7.84018,20.8785,177.711,448.948
1428,0,0,1.10005,2.59664
1472,0,0,20.6057,52.6968
1514,5.59738,9.98975,90.8498,151.615
1600,0,0,113.126,191.843
1627,0.68556,1.66111,30.8502,58.994
1779,0.12473,0.282475,15.9655,25.0863
1795,0,0,215.613,597.589
1801,0,0,3.11492,7.30707
1896,0.853757,1.36819,35.6139,48.884
2013,4.27963,8.05576,122.942,176.663
2048,2.10531,4.92446,74.2599,173.699
2061,0.672567,0.875684,82.7258,81.1004
2078,0.307163,0.642437,18.1226,34.4103
2113,1.77633,3.12663,78.1587,143.1
2123,0,0,78.7303,218.207
2197,0.190502,0.45943,20.0027,39.6279
2227,0.257685,0.599651,27.0569,38.9161
2251,0.989619,1.50724,41.0692,52.8496
2350,2.76241,4.88355,166.435,206.766
2355,1.4905,2.69247,42.4792,51.9459
2557,0.361531,0.790193,35.4301,62.0058
2566,0.4494,0.961598,63.3655,84.4876
2652,3.36792,7.86157,87.5658,170.969
2664,0,0,28.5261,53.0595
2670,0.526075,0.8704,23.0421,35.5125
2683,1.2923,2.46229,65.4765,110.794
2716,0.303192,0.722378,10.1569,22.2138
2740,1.40955,3.14901,96.5541,148.486
2792,1.35702,2.31837,75.5407,103.675
2823,2.0709,3.70036,67.9256,120.172
2860,5.06945,9.39239,121.667,169.42
2867,1.26037,2.71829,37.1808,65.6324
2869,0,0,109.005,302.117
2938,0,0,44.118,70.6589
2939,1.97623,3.77796,145.747,238.036
2948,1.12509,2.17539,34.1745,49.7039
2962,7.9777,15.7283,180.068,354.922
2963,0,0,14.9004,34.9176
3007,1.4148,3.07505,94.7914,130.189
3054,0,0,66.5215,91.4323
3070,0,0,138.582,384.092
3130,0,0,168.641,467.402
3178,0,0,64.0788,81.4989
3179,0,0,43.858,54.5185
3251,0.878515,1.43298,64.7173,65.3797
3252,0.464313,0.783111,50.1458,65.6119
3254,0.445134,1.05595,29.824,50.6417
3255,0,0,102.179,283.198
3311,0,0,104.493,289.611
3321,0.571274,0.778325,43.0359,48.025
3329,2.10247,4.96743,174.505,332.701
3349,0,0,1.12524,2.60914
3379,0,0,102.102,282.984
3408,0.861592,0.994175,44.1874,40.4979
3412,0,0,49.0559,102.357
3437,0.134337,0.286129,15.9861,20.8705
3495,1.73505,2.54714,49.4489,64.3406
3522,0.477771,0.778669,71.9045,83.2814
3549,0,0,3.06901,7.03228
3564,1.75973,2.97811,63.7565,91.126
3602,0,0,46.0947,93.8338
3605,0.172092,0.369812,31.8371,39.7234
3609,3.42917,7.61403,115.612,205.97
3629,2.41124,6.05327,74.7484,180.748
3654,0.850798,1.83563,39.1367,51.9842
3656,0.654025,1.11249,49.0519,64.2869
3661,0.550664,0.810387,49.7433,60.4155
3690,5.92719,16.4277,154.107,427.12
3708,2.45823,5.58032,35.2931,73.5699
3710,0,0,9.63161,18.5749
3716,0.647202,1.6464,29.1241,60.3001
3756,1.78777,4.10869,148.385,242.961
3774,1.0143,1.71512,69.987,83.6002
3776,4.9509,13.7218,169.981,471.116
3782,0.526608,0.864552,35.2075,47.1997
3789,0.716258,1.63654,28.0773,58.4295
3819,0.324491,0.853075,20.4429,53.7437
3886,0,0,53.9902,67.9454
3909,0.514493,1.12956,30.0978,50.2381
3950,0.805342,1.40014,46.7098,69.5552
3960,0.0966843,0.206413,19.8203,24.8275
4068,3.44835,8.2857,144.831,319.23
4071,0.551913,1.33986,40.2896,75.1911
4081,1.80675,3.9137,109.61,136.134
4085,1.58683,1.91583,77.7548,75.9136
4111,0,0,46.6916,129.41
4117,3.97376,8.9972,78.1506,122.674
4123,0.560911,1.37972,58.8957,144.87
4125,1.62319,2.91773,39.1778,61.1126
4126,0,0,105.339,291.956
4139,0.602355,1.46234,62.6449,109.714
4141,4.04093,11.1998,105.064,291.194
4176,0.997859,2.20378,92.8008,141.567
4200,2.17154,3.43834,58.8729,70.5385
4208,3.68473,8.84803,54.4206,130.679
4219,0,0,41.0258,113.706
4226,0,0,151.022,401.709
4228,0.552285,0.89018,80.8178,72.0931
4249,0,0,9.48153,13.4362
4261,0.0947449,0.213698,8.52704,14.2791
4267,0,0,338.378,937.841
4274,1.54875,2.88376,59.2396,90.3331
4275,2.10282,5.82813,155.608,431.282
4288,6.9927,18.3938,216.774,530.777
4306,0,0,12.0768,14.6978
4309,0,0,34.7542,56.148
4341,0.853807,1.23993,34.7215,38.7405
4344,0.563723,1.06605,33.1469,59.4481
4347,12.8873,35.7182,223.38,619.116
4375,3.17403,7.37677,86.0955,165.319
4384,3.94415,9.89245,181.431,435.975
4412,1.02116,1.02664,55.4212,49.5173
4425,1.76105,2.71987,36.2777,44.1622
4444,0.683478,1.52951,26.9974,54.7986
4446,0,0,155.577,431.194
4451,0,0,13.1723,30.7865
4466,0.878772,1.88106,43.3527,64.0444
4482,2.79057,7.73429,178.597,494.995
4492,2.17946,6.04056,137.306,380.555
4498,1.76838,3.34671,49.0724,72.9191
4506,0.776564,2.15231,46.5938,129.139
4507,1.31622,1.785,52.5292,61.0797
4515,1.71103,2.17776,89.9513,102.532
4520,0,0,15.2204,34.3063
4523,0,0,147.006,407.44
4527,3.79396,8.6788,51.8508,106.731
4553,7.98311,19.5414,176.243,406.147
4565,1.28097,2.63869,43.8092,80.9416
4566,2.0121,3.80886,94.2333,126.269
4576,0,0,51.955,97.0498
4582,0,0,2.46447,6.78083
4583,1.54292,2.32262,48.5821,69.1321
4586,0.560353,0.951566,43.0071,61.7432
4589,0,0,50.8655,95.0715
4590,0.170941,0.359772,58.6326,64.4436
4597,0,0,9.65089,23.5133
4606,0,0,43.6377,104.907
4612,3.93635,9.47613,51.1726,123.19
4614,1.01523,2.60867,22.3351,48.4087
4618,3.97987,11.0305,111.436,308.855
4622,0,0,116.173,214.227
4638,0,0,123.7,342.845
4642,0,0,112.307,311.267
4647,0.348873,0.766116,50.5866,72.5411
4653,0.560687,1.2823,43.1729,84.7576
4659,0,0,5.48779,13.6079
4674,1.19544,2.13418,47.8175,71.3726
4675,0.327829,0.715004,11.2555,18.157
4682,2.17721,3.79798,124.536,187.624
4687,1.08661,2.69839,121.7,244.618
4688,0,0,8.42945,21.4264
4690,0.786595,1.793,62.9276,110.123
4692,1.28072,1.8927,50.9725,67.3343
4706,0,0,130.517,275.026
4709,0,0,191.208,380.958
4720,0.74956,1.76374,39.7267,82.1207
4765,0,0,53.1778,133.759
4784,1.71427,3.08014,59.9994,62.4097
4786,0,0,55.6895,154.348
4789,0.113138,0.266667,10.635,18.6719
4801,0.255768,0.465011,22.3797,33.0801
4805,1.47954,2.80166,63.6202,99.6135
4813,1.49032,3.34819,76.7514,114.804
4814,3.54639,9.05397,115.849,259.57
4819,0.56507,1.35089,19.7774,42.5282
4820,0,0,230.178,637.956
4824,1.46891,2.83536,58.5465,88.2039
4835,1.51337,4.19443,84.7489,234.888
4839,0,0,23.4935,54.2935
4840,0,0,11.8838,21.8237
4855,1.46224,3.3635,79.9358,141.151
4859,0,0,1.92337,5.27393
4862,0.62755,1.33671,36.8163,45.3004
4865,0,0,5.13568,9.12175
4867,2.88948,6.99306,150.253,298.54
4868,4.40894,8.99699,121.474,237.246
4871,4.0076,7.79142,156.296,298.333
4877,0,0,43.3905,85.5595
4878,0,0,102.752,284.786
4884,0.732566,1.69237,55.4309,110.215
4891,0,0,91.7401,128.282
4910,0.224565,0.505834,17.2915,25.3714
4912,0,0,145.042,341.81
4917,0,0,106.52,277.576
4929,0,0,65.0734,158.815
4930,0,0,45.5534,74.0724
4934,0,0,9.27712,22.4967
4938,3.28592,7.91746,243.158,483.493
4939,0.825354,1.41927,29.0249,43.4195
4941,0.813815,1.98798,48.8289,93.117
4942,1.02131,2.40897,22.2832,51.076
4946,0.778355,1.16906,57.2091,83.2881
4948,0,0,145.626,403.615
4950,0.479907,1.01866,77.265,87.1421
4954,0,0,60.1678,76.7682
4957,1.13731,2.52028,53.4536,83.6629
4965,0,0,53.0498,87.138
4972,0,0,17.2208,44.7717
4976,3.6613,10.1476,77.2941,214.227
4980,0.209014,0.470016,42.6388,58.8642
4982,2.44178,3.45808,108.049,119.079
4983,0.606502,0.98151,44.0725,45.5329
4985,2.24839,3.7907,61.2931,110.888
4988,1.1373,2.08718,30.2198,39.0469
4989,0,0,38.271,77.7731
4993,0,0,2.23432,4.47001
4994,0,0,192.342,533.092
5007,0,0,57.4821,133.28
5024,3.97218,6.97774,145.836,218.253
5028,1.20161,2.67166,48.6651,101.286
5029,1.37436,2.21533,27.88,42.5466
5032,0.426363,0.688554,39.6518,47.683
5035,0.311319,0.696054,24.5942,42.6307
5037,0,0,8.83801,19.68
5042,0,0,67.5821,187.309
5045,1.64691,2.29763,55.995,72.6513
5049,0.70085,1.15808,52.5638,72.0878
5051,0.890208,1.85608,32.8487,61.2384
5052,0,0,128.217,212.117
5072,1.90643,2.06332,66.8442,60.3202
5077,0,0,46.9953,124.907
5079,0.572957,0.928286,41.8259,56.1275
5080,0,0,102.592,284.341
5081,7.48841,20.7547,119.815,332.076
5082,2.45045,6.50226,121.297,302.579
5085,12.8111,35.507,227.397,630.249
5086,15.9894,44.316,255.831,709.056
5088,0.832062,1.47219,37.0268,59.8952
5092,0.910167,1.38547,58.8575,77.458
5097,0,0,129.954,360.178
5099,0.402978,0.650398,47.1484,50.381
5101,1.14614,1.93651,52.5589,89.74
5102,0,0,38.8578,60.2393
5103,1.21548,3.09833,41.3262,105.343
5105,1.40588,2.99774,41.7748,78.2727
5110,0,0,145.119,402.208
5113,6.18784,17.1501,222.762,617.404
5115,1.386,3.61651,85.4701,205.713
5116,1.7347,4.30785,97.1431,200.176
5121,7.67715,19.2816,159.301,358.217
5127,0,0,40.4326,71.4237
5128,0.481166,1.23911,33.2005,85.4983
5129,1.61574,1.87748,85.3649,86.0468
5130,0,0,53.0341,80.8212
5133,5.36678,13.8029,189.179,444.856
5140,1.22466,2.35709,40.4137,75.1162
5144,0.708592,0.910059,40.8621,42.7362
5148,0,0,42.819,59.9825
5156,0,0,126.338,350.156
5158,1.64758,2.16841,57.1709,51.4558
5164,0.37416,0.828869,51.2599,70.6402
5168,2.27929,2.61124,67.429,71.8382
5172,4.57754,7.3796,251.764,381.706
5173,0,0,187.527,462.627
5177,0,0,35.5823,65.0824
5179,0.185298,0.279562,28.0726,24.4045
5180,0.354033,0.81343,34.3412,63.3607
5181,0,0,199.639,553.315
5182,0,0,53.421,107.394
5185,1.85453,2.53752,43.2723,54.1425
5186,0,0,52.5502,131.172
5188,0,0,17.0482,35.8119
5189,1.8544,4.75183,137.225,303.22
5190,0,0,64.55,113.37
5191,0.604681,1.21913,46.5604,86.5094
5193,0.715456,1.21841,51.5128,61.4639
5195,0,0,38.3757,68.8278
5196,2.37573,2.72629,66.3718,58.2665
5199,0,0,29.1847,80.8878
5200,0,0,117.581,283.856
5201,0.371924,0.982924,12.8314,29.7005
5202,1.47829,2.72631,104.071,168.328
5204,0,0,141.079,391.011
5211,1.74709,2.6897,75.7071,123.715
5212,1.41475,2.56966,77.5285,106.19
5213,2.0026,3.59284,133.773,163.911
5217,0.431287,0.926486,33.6404,52.9147
5218,0,0,40.0065,100.355
5219,1.55072,3.33004,117.854,160.259
5220,4.8375,11.6873,217.687,434.994
5221,0,0,107.15,125.424
5224,0.390571,0.843086,41.7911,64.8965
5226,3.68157,5.76246,98.6661,153.859
5227,0.689726,0.911684,38.9695,44.8529
5228,0,0,112.434,311.619
5229,1.28746,3.25959,80.4665,180.082
5230,1.46923,2.23853,74.5632,110.679
5232,2.4908,5.7675,132.012,242.75
5234,0.439257,0.976783,18.6684,29.8784
5240,0,0,33.9491,94.0928
5243,1.6332,3.58692,102.892,157.91
5248,0.339815,0.443178,44.9689,40.5341
5251,0.175746,0.461439,11.5992,27.3124
5252,1.20105,2.27417,42.5371,66.7513
5253,3.1497,4.67578,89.5812,120.964
5256,0.691013,1.09146,40.7698,49.2113
5258,0,0,85.2263,110.025
5259,3.82474,9.27069,159.683,296.93
5260,4.4949,10.6954,185.147,430.489
5262,2.83319,4.55255,88.9621,129.929
5263,0,0,50.4509,139.829
5268,0,0,4.43372,9.7229
5270,0.593482,0.935413,25.0746,29.1357
5281,1.84083,3.5565,56.1454,108.213
5282,0.708982,1.37292,30.3444,51.8509
5283,0.733459,1.07417,31.8321,36.7778
5288,1.97024,5.46069,74.8692,207.506
5289,0.802787,1.29433,43.1498,64.3581
5292,3.32072,8.61419,102.942,231.34
5299,0.611851,1.49801,40.3821,78.0043
5301,0.772838,1.69495,52.553,85.3594
5302,0,0,75.1635,208.322
5303,1.8061,3.61507,43.3465,80.016
5304,0.386329,0.676648,44.2991,56.6518
5305,0,0,40.5155,86.8393
5306,0,0,9.34861,23.599
5307,0,0,74.2813,183.103
5310,4.57206,12.6718,214.887,595.577
5312,1.00683,2.2788,43.0419,87.5322
5314,0.987529,2.38267,41.97,83.0286
5318,4.33608,12.0178,164.771,456.676
5319,0.470913,0.984074,28.2548,53.7747
5320,0.0555953,0.118274,16.623,18.5441
5325,21.1952,58.7443,211.952,587.443
5326,10.0495,24.2206,221.089,477.641
5328,3.05605,5.74312,87.6067,159.809
5329,0,0,28.4635,45.1004
5336,0.687099,1.59795,28.5146,44.9546
5339,0.547438,1.22593,41.6053,73.7482
5340,0.256252,0.695662,4.10004,11.1306
5341,1.59695,3.59707,103.004,167.139
5344,0.395436,0.682921,35.1938,46.1742
5345,0.942266,1.84584,42.402,68.0993
5346,2.81994,6.76856,146.637,292.526
5348,0,0,43.8254,121.466
5352,1.12774,2.5041,51.312,90.0042
5353,0,0,210.523,583.481
5355,0,0,197.504,547.399
5357,0.480005,1.03948,59.5206,84.57
5360,0,0,70.6864,195.913
5361,0,0,66.0838,123.62
5363,0.224849,0.531096,19.1122,40.9185
5364,0,0,156.329,433.279
5368,7.28073,20.1791,171.097,474.21
5369,0,0,83.6176,231.753
5370,0,0,19.442,53.885
5371,0.338506,0.766917,28.6037,53.4058
5377,1.12219,2.7317,33.6657,81.951
5378,1.00378,1.26333,57.0385,67.6271
5380,4.16434,7.0997,66.9765,104.512
5387,0,0,42.5681,48.3986
5391,1.55783,3.54095,163.572,267.641
5392,0,0,196.082,325.1
5398,0,0,29.9407,60.184
5401,0,0,24.9346,37.964
5404,0,0,12.3344,29.2015
5405,0.255304,0.479069,10.7228,19.3113
5406,1.22412,2.18358,81.71,110.508
5408,0,0,10.3649,27.7288
5409,3.62082,5.83687,131.666,197.048
5410,0,0,43.3942,91.2675
5413,0,0,24.8115,61.3089
5415,0.529564,1.12063,36.5399,72.8615
5416,1.44038,2.0714,65.9696,90.581
5418,0,0,5.66746,12.3131
5419,0,0,40.723,68.1187
5422,0.524886,0.912366,30.3122,33.8311
5423,0.86732,1.32587,47.4858,71.1964
5424,0,0,20.0918,33.9424
5425,0.410439,0.912756,20.9324,37.8731
5427,0,0,14.7424,28.2284
5429,7.22611,20.0277,166.2,460.638
5438,0,0,1.72389,4.15311
5439,0,0,20.9403,53.8193
5441,1.00866,2.3164,33.2857,60.968
5444,0,0,13.5892,25.2445
5452,0,0,113.901,315.687
5456,0,0,113.666,315.034
5457,3.15192,8.73581,125.627,348.184
5458,0.453041,0.998768,20.2736,44.9266
5460,3.54064,8.56306,188.834,389.228
5464,0.254066,0.441305,13.5925,23.8456
5465,0.839817,1.40592,40.6844,63.1851
5469,0.547084,1.36708,34.4663,71.7658
5472,0.482426,0.88348,26.3726,41.3965
5476,0.69775,1.09207,98.3828,102.591
5477,0.259487,0.63884,26.7271,50.0868
5484,2.61146,5.80772,80.52,142.918
5487,0,0,69.7029,193.187
5490,0,0,180.425,500.064
5492,0,0,103.497,151.313
5497,1.6588,2.6921,47.8126,74.1861
5501,0,0,10.7739,22.2281
5502,1.02798,1.86662,33.0422,57.8839
5505,1.57453,2.67126,35.7644,58.3246
5508,1.59463,2.53407,102.056,159.424
5511,0,0,45.2025,89.3067
5512,0,0,125.191,283.881
5516,1.84943,2.82032,55.7472,68.093
5517,1.24266,2.88818,51.5702,88.6829
5520,3.84526,9.35756,145.071,323.497
5526,0,0,19.3991,37.9965
5527,4.85793,13.4642,128.735,356.8
5528,0.227478,0.531331,35.0316,55.5351
5535,1.38758,1.90351,56.6307,63.1487
5536,0,0,15.9781,29.4781
5537,0.922916,1.91671,37.2858,65.894
5541,0,0,20.7684,38.4264
5543,0.655875,1.81781,22.2998,61.8056
5544,2.05902,5.70674,42.2099,116.988
5546,3.65768,10.1376,117.046,324.402
5548,0.119183,0.25066,17.8775,20.2472
5554,1.13986,1.97756,48.0643,65.1971
5557,0,0,37.4431,57.646
5558,0,0,10.4846,25.8746
5561,2.21604,2.57046,81.2548,88.1097
5563,0.287137,0.625028,47.6647,59.3255
5568,0,0,22.3762,37.8402
5569,0,0,99.9677,277.069
5572,0.659407,1.81087,7.91288,21.7305
5573,0,0,87.5546,109.463
5581,1.93614,3.51319,105.52,167.483
