cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
27,5.13881e-09,1.00711e-08,4.11105e-08,8.05685e-08
28,1.15069e-08,2.25513e-08,0,0
36,1.65754e-07,1.68208e-07,2.53814e-07,4.09895e-07
75,1.63669e-07,1.4574e-07,3.59579e-07,3.31069e-07
78,1.52938e-07,1.37366e-07,8.33043e-07,9.4804e-07
139,5.30814e-08,8.0618e-08,1.12745e-07,2.05791e-07
172,9.6021e-09,1.88182e-08,0,0
314,6.00461e-08,8.4181e-08,2.03256e-07,3.98342e-07
343,1.69973e-07,1.70891e-07,3.94436e-07,3.86496e-07
365,8.57525e-08,1.00838e-07,1.47442e-07,1.18253e-07
382,4.26775e-09,8.36395e-09,3.4142e-08,6.69116e-08
389,6.35865e-08,1.24617e-07,1.81702e-07,3.561e-07
528,1.21551e-07,1.6593e-07,2.24795e-08,4.40554e-08
539,1.86878e-07,1.51276e-07,3.17602e-07,2.93565e-07
581,1.35347e-08,2.65254e-08,1.08278e-07,2.12204e-07
640,4.92708e-08,5.54037e-08,9.43842e-08,1.30894e-07
666,2.75522e-08,2.8065e-08,1.59584e-07,1.90289e-07
696,3.85934e-08,4.86744e-08,2.26388e-07,2.99915e-07
725,2.5602e-07,2.3434e-07,6.43795e-07,4.29402e-07
734,2.24764e-08,3.63959e-08,3.55512e-08,6.96733e-08
746,5.39336e-08,9.09831e-08,4.02538e-08,7.08091e-08
773,2.44381e-09,4.7894e-09,1.95505e-08,3.83152e-08
778,1.17433e-08,2.30146e-08,0,0
810,2.10223e-07,1.52045e-07,7.44155e-07,4.69749e-07
938,1.1471e-07,9.19528e-08,5.20253e-07,4.16815e-07
1029,1.4887e-07,1.53331e-07,5.74194e-07,9.57123e-07
1056,2.0346e-08,3.98742e-08,0,0
1081,1.41042e-07,2.66106e-07,1.00393e-06,1.88525e-06
1257,1.16614e-07,8.38403e-08,5.87213e-07,4.68548e-07
1286,6.84449e-09,1.34139e-08,5.47559e-08,1.07311e-07
1297,3.77165e-08,7.39169e-08,0,0
1386,4.15422e-07,3.45e-07,4.57505e-07,3.39243e-07
1398,2.30044e-08,4.50841e-08,0,0
1406,5.31569e-09,7.50747e-09,4.25255e-08,6.00598e-08
1426,1.27548e-08,2.29969e-08,1.02039e-07,1.83975e-07
1428,2.42413e-07,3.18937e-07,2.7652e-08,5.41925e-08
1472,3.88243e-08,6.3788e-08,5.63734e-08,1.10481e-07
1514,7.74171e-08,8.97754e-08,2.8852e-07,3.09228e-07
1600,1.26702e-08,1.59585e-08,1.01362e-07,1.27668e-07
1627,1.45866e-07,2.07831e-07,2.12151e-07,2.75517e-07
1779,2.67243e-07,3.03291e-07,2.24913e-07,2.18277e-07
1795,5.72013e-09,1.12103e-08,4.5761e-08,8.96826e-08
1801,2.6753e-07,5.14795e-07,3.67422e-08,4.46694e-08
1896,2.73302e-07,2.62504e-07,5.29649e-07,5.04161e-07
