cellID,SSB,statisticalError,DSB,statisticalError
17,5.2e-06,8.7642e-06,0,0
21,6.6e-06,1.29347e-05,2e-07,3.91961e-07
23,2.16e-05,3.59737e-05,4e-07,7.83922e-07
25,5.72e-05,0.000112101,1.8e-06,3.52765e-06
26,4.6e-06,9.0151e-06,0,0
30,3.86e-05,3.33858e-05,4e-07,5.54261e-07
101,1.84e-05,2.80282e-05,4e-07,7.83922e-07
175,4.6e-06,9.0151e-06,2e-07,3.91961e-07
206,7.4e-06,1.00457e-05,0,0
216,1.24e-05,2.43016e-05,0,0
236,7.06e-05,0.000107548,6e-07,1.17588e-06
242,5.16e-05,4.03716e-05,1.2e-06,1.46635e-06
274,5.6e-06,1.09749e-05,2e-07,3.91961e-07
279,8.22e-05,9.55268e-05,2.2e-06,2.62891e-06
293,1.28e-05,2.50855e-05,0,0
295,6e-07,1.17588e-06,0,0
312,2.42e-05,4.74273e-05,1.2e-06,2.35176e-06
314,6e-06,1.17588e-05,2e-07,3.91961e-07
339,3.64e-05,4.35515e-05,8e-07,1.23941e-06
372,1.86e-05,2.75386e-05,0,0
391,1.64e-05,2.27112e-05,6e-07,1.17588e-06
457,7e-06,1.37186e-05,0,0
462,1.66e-05,2.3869e-05,0,0
470,2.2e-06,4.31157e-06,0,0
498,7.4e-06,1.45025e-05,0,0
499,3.92e-05,5.06065e-05,1e-06,1.9598e-06
506,1.88e-05,3.09065e-05,2e-07,3.91961e-07
527,1.26e-05,2.46935e-05,4e-07,7.83922e-07
544,2e-05,2.78016e-05,4e-07,5.54261e-07
581,1.2e-06,2.35176e-06,0,0
625,5.36e-05,5.98742e-05,6e-07,8.76381e-07
626,2.16e-05,2.26875e-05,4e-07,7.83922e-07
631,2.2e-06,4.31157e-06,0,0
661,4.26e-05,5.65893e-05,1e-06,1.29982e-06
717,5.42e-05,4.2089e-05,4e-07,7.83922e-07
725,4e-06,7.83922e-06,0,0
734,2.66e-05,3.071e-05,8e-07,1.56784e-06
763,9.8e-06,1.41475e-05,2e-07,3.91961e-07
772,3.4e-06,6.66333e-06,2e-07,3.91961e-07
778,1.18e-05,1.24845e-05,0,0
779,9.8e-06,1.92061e-05,0,0
791,1.8e-06,3.52765e-06,0,0
824,5.56e-05,4.34051e-05,2e-07,3.91961e-07
831,1.2e-06,2.35176e-06,0,0
852,1.92e-05,2.75634e-05,2e-07,3.91961e-07
918,2.56e-05,3.27378e-05,6e-07,1.17588e-06
936,8e-06,1.56784e-05,0,0
939,1.28e-05,2.00847e-05,8e-07,1.23941e-06
950,1.58e-05,3.09649e-05,0,0
980,0.0001042,0.000100132,3.6e-06,3.91873e-06
1056,2.04e-05,2.62374e-05,2e-07,3.91961e-07
1059,3.94e-05,3.86736e-05,4e-07,5.54261e-07
1101,8e-05,7.30341e-05,2.6e-06,3.2554e-06
1111,1.06e-05,2.07739e-05,2e-07,3.91961e-07
1146,8e-06,1.56784e-05,4e-07,7.83922e-07
1175,2.6e-06,5.09549e-06,0,0
1176,6.16e-05,4.37796e-05,6e-07,8.76381e-07
1185,2.56e-05,3.10615e-05,6e-07,8.76381e-07
1198,1.4e-06,2.74373e-06,0,0
