cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
17,0,0,125.952,299.161
21,5.57124,15.4411,183.851,509.558
23,1.58342,3.68761,85.5047,178.47
25,7.46632,20.6935,237.263,657.594
26,0,0,70.1151,194.33
30,0.371179,0.670287,35.8187,51.7712
101,0.471872,1.21458,21.7061,49.0423
175,5.49078,15.2181,126.288,350.017
206,0,0,52.2784,105.944
216,0,0,251.312,696.533
236,0.390138,0.937055,45.9063,94.6232
242,1.53268,2.44228,65.9054,84.8645
274,0.861565,2.3879,24.1238,66.8611
279,1.30932,2.30446,48.9209,85.0208
293,0,0,12.314,28.3167
295,0,0,150.48,417.068
312,6.06159,16.8002,122.242,338.804
314,0.394932,1.03693,11.848,31.1079
339,0.191441,0.346053,8.71056,13.2068
372,0,0,231.471,472.617
391,1.91607,4.47698,52.3726,98.4874
457,0,0,206.934,573.534
462,0,0,178.049,357.24
470,0,0,15.6168,43.2833
498,0,0,207.684,575.613
499,2.01782,4.66559,79.0984,140.876
506,0.314633,0.806741,29.5755,68.9575
527,3.02572,8.38604,95.3103,264.16
544,3.72894,7.33742,186.447,367.453
581,0,0,2.45848,6.77909
625,0.486512,0.819409,43.4618,60.7076
626,0.585033,1.21574,31.5918,39.7199
631,0,0,7.55956,17.614
661,2.58335,4.65815,110.051,200.715
717,0.464479,0.963411,62.9369,64.9321
725,0,0,8.26683,21.5321
734,1.18482,2.56065,39.3953,57.9383
763,0.897945,2.07296,43.9993,83.1649
772,16.128,44.6999,274.175,759.899
778,0,0,48.9702,77.0179
779,0,0,148.414,411.343
791,0,0,90.1174,249.768
824,0.400095,0.84309,111.227,122.298
831,0,0,115.121,319.066
852,1.53199,3.67963,147.071,293.738
918,0.492309,1.17471,21.0052,39.2306
936,0,0,87.5541,214.627
939,4.04488,7.92359,64.7181,127.796
950,0,0,139.092,385.505
980,2.41906,3.31468,70.0185,89.0107
1056,0.524727,1.15865,53.5222,87.7675
1059,0.212153,0.427646,20.897,36.8326
1101,1.47263,2.20234,45.3116,55.5377
1111,0.151495,0.408402,8.02923,21.6453
1146,1.71486,4.2683,34.2972,85.366
1175,0,0,5.69719,15.5166
1176,0.677872,1.09455,69.5949,68.8546
1185,2.66328,4.93906,113.633,189.393
1198,0,0,74.8142,207.354
1200,0.688018,1.48243,147.236,187.698
1235,0,0,24.4704,55.1431
1273,0.660457,1.50172,30.8764,62.5056
1286,1.17823,2.9331,30.6339,76.2606
1288,1.36915,3.02834,84.8874,131.842
1369,0.815129,1.93197,30.5674,54.9593
1370,0,0,1.96994,4.6382
1372,1.22745,1.80643,61.6795,84.4746
1376,0,0,91.4057,183.39
1392,1.9638,3.41214,98.1899,134.952
1406,3.24643,6.26204,100.639,181.93
1413,0.126962,0.268127,4.57063,7.35934
1426,2.0899,3.62687,87.7758,150.28
1443,2.6774,5.54974,100.135,161.664
1457,0.149661,0.327666,18.2586,27.7815
1464,6.22573,12.5552,126.59,248.651
1477,0.398004,0.528753,36.4174,41.5219
1494,1.46205,3.24601,103.805,239.421
1496,0,0,4.30628,7.80559
1517,2.22559,5.63893,79.0085,168.152
1525,1.32154,3.66277,88.5435,245.405
1543,0.274368,0.602887,29.3574,42.1447
1588,1.58805,2.09321,57.0815,48.9587
1604,0,0,81.4419,225.723
1608,0,0,29.9348,41.1903
1624,1.37902,2.5273,62.6075,94.6285
1628,0.447003,0.725003,31.2902,45.3888
1639,0,0,6.59015,15.1134
1644,0,0,62.3026,88.0024
1671,1.89016,3.00054,59.0676,90.4876
1720,3.39264,8.98399,164.389,410.043
1779,0,0,12.3234,34.1552
1832,0,0,92.9851,257.716
1915,0.845044,0.89761,37.637,36.0341
1980,1.14917,2.51602,81.5911,183.021
2013,0,0,31.8828,63.3514
2027,0,0,48.0767,90.2783
2032,1.43828,1.99372,52.2573,48.4454
2073,0.328501,0.386356,26.4991,25.2885
2075,0.674468,1.57732,62.7255,103.495
2088,0,0,36.826,65.0145
2111,0,0,189.487,525.18
2198,0,0,8.69817,23.4285
2204,0.439124,0.472532,34.1638,28.0163
2214,1.02831,0.887356,42.2001,27.8833
2227,0.894961,0.455572,43.3043,15.3578
2228,0.876408,1.75909,50.3934,101.724
2233,4.77546,13.2356,119.387,330.89
2250,11.1709,30.961,223.417,619.22
2266,0,0,112.227,182.748
2269,0.555599,1.25736,60.5603,93.242
2271,1.6547,1.65522,44.9437,44.2918
2278,0.799313,1.09013,34.2978,34.4496
2414,1.73987,3.93216,63.9112,136.988
2428,1.97632,4.33966,114.627,163.803
2439,0,0,188.356,522.045
2447,0,0,26.3704,34.6834
2452,7.16411,19.8559,143.282,397.119
2466,0,0,140.452,389.274
2469,0,0,149.298,413.793
2473,1.79467,1.11714,60.2663,32.0838
2488,0.14849,0.303963,39.4983,35.8643
2499,0,0,54.3702,123.163
2516,0,0,23.8703,30.6412
2524,1.10094,0.449037,57.8355,19.8874
2543,0.257758,0.530328,31.2746,52.5501
2568,1.12234,1.6195,56.8028,53.9961
2614,0.745707,0.839418,24.9473,24.1825
2629,6.63333,18.3848,159.2,441.235
2658,0.583914,1.30386,35.1808,65.6426
2662,1.39288,1.45035,42.843,28.051
2673,1.43901,1.87087,81.4477,95.7579
2676,1.98556,5.03025,117.148,259.309
2729,0.933114,2.28474,24.883,57.6986
2735,1.1353,1.34161,73.7945,64.298
2804,0,0,27.935,77.4242
