cellID,DSBDimension
21,0.807486
23,2.90363
23,2.22863
25,2.68896
25,2.68896
25,2.68896
25,2.12985
25,1.6585
25,1.6585
25,2.2965
25,1.6585
25,0.304061
30,2.54277
30,0.644751
101,0.365397
101,0.471396
175,1.61313
236,1.89627
236,1.0374
236,1.03016
242,0.116374
242,1.13823
242,3.5903
242,2.48541
242,1.87497
242,2.76997
274,1.98204
279,1.53081
279,3.1022
279,0
279,0.485349
279,0.453795
279,1.06243
279,2.74147
279,1.99338
279,2.91507
279,0.00280654
279,1.85058
312,2.41195
312,0.0320093
312,2.73387
312,0.588541
312,0.0320093
312,2.34029
314,1.36318
339,2.71697
339,2.14515
339,2.71697
339,2.6195
391,0
391,2.75257
391,2.07265
499,0.132983
499,1.53378
499,1.08701
499,2.54944
499,0
506,2.45538
527,1.57582
527,2.62162
544,0
544,0.761163
625,0.644009
625,2.92107
625,2.92107
626,0.0912502
626,0.0318665
661,2.51861
661,1.06666
661,1.06666
661,1.42633
661,1.08053
717,0.549264
717,0.549264
734,0.149567
734,0.916866
734,0
734,0
763,0
772,2.47025
824,0.390898
852,1.48406
918,1.31777
918,2.38001
918,2.1494
939,2.45474
939,0.62843
939,2.33096
939,0.102629
980,2.83256
980,1.55892
980,1.2531
980,2.83256
980,3.64083
980,1.91846
980,4.30045
980,1.02991
980,2.41319
980,2.03419
980,2.52673
980,1.99002
980,2.78508
980,1.87231
980,0.483889
980,1.48296
980,0.50451
980,0.370487
1056,0.221891
1059,1.73266
1059,0.418723
1101,2.88975
1101,1.65854
1101,1.21729
1101,0
1101,2.56881
1101,0.854161
1101,2.80364
1101,2.69055
1101,2.52225
1101,1.4845
1101,2.52225
1101,4.24692
1101,0.328099
1111,0.927634
1146,0.87427
1146,0.0116098
1176,1.123
1176,1.81487
1176,1.81487
1185,4.97591
1185,3.28023
1185,2.27768
1200,0.115803
1273,2.49286
1273,2.90186
1273,1.08138
1273,2.46486
1286,1.86228
1288,1.66381
1288,0
1369,0.987189
1369,0.118387
1372,2.78529
1372,2.78529
1372,1.41234
1372,1.0323
1372,2.5392
1372,2.90789
1372,2.20743
1372,2.90789
1392,0.0881275
1392,1.85694
1392,0.51445
1392,0.51445
1406,1.91054
1406,2.58831
1406,0.921351
1406,0.921351
1413,1.24812
1426,0.456545
1426,0.476753
1426,0.799416
1426,0.439961
1426,1.5277
1426,2.89447
1443,3.05083
1443,0.730635
1443,1.77809
1443,2.57259
1443,1.87769
1443,1.74406
1443,0.204129
1443,1.37436
1443,1.11233
1443,0
1457,2.10832
1464,2.72685
1464,1.40709
1464,2.07619
1477,0.385503
1477,0.26398
1477,0.187763
1477,0.089983
1494,1.20881
1494,2.87753
1494,3.11878
1494,0
1494,0.467671
1494,2.87637
1494,1.89907
1494,2.68496
1517,4.77001
1517,4.27865
1525,2.44162
1543,1.87136
1588,0.31428
1588,1.101
1588,1.101
1588,0.77909
1588,2.1973
1588,1.5352
1588,0.966759
1588,4.89851
1588,0.723742
1588,2.20652
1588,3.46102
1588,1.40314
1588,1.15336
1588,1.29178
1588,2.39491
1588,4.40024
1588,0.420659
1588,0.420659
1624,0.897918
1624,1.00156
1624,0.664714
1624,2.60098
1624,2.10772
1628,3.13682
1628,0.265708
1671,0.619878
1671,2.16748
1671,1.33051
1671,1.43592
1720,1.55834
1720,1.07745
1720,2.90418
1720,2.90418
1720,1.28828
1720,0.867478
1720,0.331574
1720,2.56294
1720,0.345325
1720,1.98366
1720,0.169054
1915,3.12029
1915,1.37435
1915,1.05946
1915,0.620903
1915,2.73378
1915,2.68367
1915,2.66392
1915,1.3337
1915,1.06635
1915,1.7365
1915,2.7497
1915,0.959649
1915,2.23663
1980,1.94447
1980,4.29957
2032,2.65001
2032,1.72368
2032,0
2032,4.19443
2032,1.85184
2032,1.34
2032,1.47546
2032,2.78005
2032,1.47546
2032,0
2032,2.98276
2032,1.9303
2032,0.303556
2032,1.16857
2032,3.52203
2073,2.26212
2073,0.684084
2073,0.00666326
2073,2.91311
2073,1.09138
2073,1.09138
2075,0.760727
2204,2.0326
2204,2.0326
2204,1.13526
2204,0.708586
2204,1.87185
2204,0.624522
2204,0
2204,3.69689
2204,0.66978
2204,1.72203
2214,1.76197
2214,1.79891
2214,1.55603
2214,2.45381
2214,2.10546
2214,2.75017
2214,1.40278
2214,0.550345
2214,2.21869
2214,2.21869
2214,3.11144
2214,0.0469654
2214,0.933077
2214,2.4571
2214,2.289
2214,3.03303
2214,1.02672
2214,0
2214,1.02672
2214,3.0235
2214,1.12109
2214,1.37085
2214,2.09141
2214,1.19955
2214,1.17807
2214,1.64303
2227,0
2227,0.535454
2227,0.179861
2227,0.0507418
2227,1.24557
2227,2.13498
2227,2.96347
2227,0.84821
2227,2.30823
2227,0.698204
2227,1.06097
2227,3.07898
2227,1.7213
2227,1.01573
2227,3.65947
2227,2.62622
2227,1.44862
2227,1.1313
2227,4.33431
2227,2.14977
2227,4.90375
2227,2.14977
2227,3.06274
2227,1.8643
2227,0.870514
2227,0.870514
2227,3.17706
2227,3.01535
2227,2.15715
2227,0.410092
2227,2.74059
2227,3.17007
2227,1.7167
2227,2.47776
2227,2.22427
2227,2.13343
2227,1.35324
2227,1.59527
2227,2.97493
2227,1.94205
2227,2.07578
2227,0.801886
2227,3.00532
2227,2.54196
2227,5.78102
2227,1.39424
2227,1.39424
2227,1.59525
2227,2.00731
2227,0
2227,0.351409
2227,2.19615
2227,0.625986
2227,3.09525
2227,1.95361
2227,2.53267
2227,2.86202
2227,3.65118
2227,3.4241
2227,3.70409
2227,0.298915
2227,2.26113
2227,0.112465
2227,0.780236
2227,2.47762
2227,0.43
2227,2.08225
2227,1.84447
2227,1.89761
2227,1.67083
2227,2.08225
2227,0.575663
2227,1.13514
2227,0.75266
2227,2.08225
2227,1.19108
2227,1.84447
2227,0.145518
2227,1.95528
2227,0.948715
2227,2.08225
2227,2.08225
2227,4.94636
2227,2.96466
2227,1.44499
2227,1.44499
2227,2.97941
2227,2.14547
2227,1.0527
2227,2.14547
2227,1.44499
2227,4.29403
2227,0.818864
2227,2.77867
2227,2.77867
2227,0.24354
2227,0.24354
2227,1.96901
2227,2.97949
2227,2.12408
2227,2.12408
2227,2.60747
2227,2.67396
2227,2.67396
2227,1.54697
2227,3.1583
2228,2.20634
2228,1.87387
2233,0.851791
2250,1.24382
2250,1.6086
2250,1.07103
2250,1.24382
2250,1.03714
2250,1.03714
2269,0.301312
2271,3.48556
2271,0
2271,1.78074
2271,2.396
2271,1.54372
2271,0
2271,0.516827
2271,3.12293
2271,0.516827
2271,0
2271,0
2271,1.73919
2271,3.6331
2271,1.09633
2271,0.0528728
2271,0.926592
2271,2.9714
2271,1.17031
2271,1.88358
2271,2.99752
2271,0
2271,0.790953
2271,2.26274
2271,2.31798
2271,1.73807
2271,0.803026
2271,0
2271,0
2271,3.63467
2271,1.82969
2271,0.687828
2278,0.727728
2278,2.99064
2278,2.75946
2278,3.94481
2278,6.07375
2278,2.8536
2278,2.8536
2278,2.8536
2278,1.39621
2278,1.0309
2278,2.0163
2414,0
2414,1.95061
2414,1.35177
2414,0.635006
2414,2.95637
2414,0.635006
2414,0.577851
2414,0.635006
2414,0.301825
2414,0.635006
2414,2.16747
2414,2.15159
2414,2.3446
2414,0.635006
2414,2.69814
2428,1.94706
2452,1.81564
2473,2.50142
2473,1.12167
2473,2.5813
2473,2.50142
2473,1.12167
2473,0.165839
2473,0.635514
2473,0.635514
2473,2.07559
2473,1.4721
2473,2.75684
2473,2.65684
2473,2.75684
2473,2.35367
2473,3.01745
2473,1.98098
2473,1.78791
2473,1.84227
2473,2.27796
2473,1.84227
2473,1.84227
2473,1.64104
2473,2.00592
2473,1.69378
2473,0.484057
2473,3.47945
2473,0.0156313
2473,0.0540048
2473,2.8575
2473,2.8575
2473,1.90344
2473,2.4353
2473,2.4353
2473,0.452993
2473,2.28837
2473,2.21644
2473,2.11833
2473,2.8668
2473,0.409073
2473,2.10255
2473,2.09022
2473,2.4003
2473,1.44988
2473,4.32781
2473,0.950687
2473,2.4003
2473,1.03237
2473,3.06705
2473,3.06705
2473,3.06705
2473,2.77511
2473,3.04825
2473,2.57781
2473,0
2473,2.02606
2473,1.3421
2473,0.676074
2473,2.87822
2473,2.87543
2473,0.224616
2473,1.97879
2473,1.97879
2488,2.63274
2524,1.34769
2524,2.59467
2524,1.93329
2524,1.3751
2524,1.69914
2524,2.37696
2524,1.96635
2524,1.50711
2524,1.64499
2524,1.75285
2524,0.405164
2524,0.121484
2524,2.13203
2524,2.95984
2524,2.62033
2524,2.87513
2524,1.9301
2524,2.19029
2524,0.540073
2524,0.879256
2524,0
2524,1.83507
2524,2.76876
2524,2.02455
2524,3.19219
2524,0.0276582
2524,2.18697
2524,1.81138
2524,0.794759
2524,2.06004
2524,1.08441
2524,1.94327
2524,1.29886
2524,3.07841
2524,2.53009
2524,0.590639
2524,1.5708
2524,1.80045
2524,0
2524,2.14604
2524,1.98849
2524,1.98849
2524,1.98849
2524,0
2524,1.14111
2524,0.345544
2524,2.61227
2524,4.56169
2524,1.24869
2524,1.60359
2524,3.03776
2524,2.6
2524,0.345544
2524,0.418341
2524,5.39866
2524,2.92389
2524,2.42646
2524,0.721731
2524,1.90466
2524,0.658176
2524,0.497926
2524,0
2524,0.760682
2524,0
2524,0.118527
2524,0.915848
2524,1.07657
2524,1.72454
2524,0.723403
2524,0.627784
2524,2.57735
2524,2.09666
2524,0.036577
2524,4.52791
2524,0.464188
2524,2.63993
2524,2.63993
2524,3.41088
2524,2.1309
2524,2.67838
2524,1.48595
2524,1.01646
2524,2.85608
2524,2.80482
2524,0.0192422
2524,1.08495
2524,3.19538
2524,1.17788
2524,0.596414
2524,3.16819
2524,1.85727
2524,0.560522
2524,1.95978
2524,0.529199
2524,0.529199
2524,1.33939
2524,1.41087
2524,3.25295
2524,1.39592
2524,0
2524,0.964039
2524,0.33178
2524,1.5782
2524,1.73222
2524,0
2524,1.16586
2524,1.74555
2524,2.13666
2524,2.27119
2524,1.48808
2524,2.46326
2524,0.939143
2524,2.72007
2524,0.0712135
2524,0.784062
2524,0.784062
2524,3.16618
2524,2.00559
2524,3.16086
2524,1.31442
2524,1.61439
2524,0.275444
2543,2.59913
2543,1.60007
2543,0.039496
2568,1.23322
2568,3.0746
2568,1.92467
2568,0
2568,2.69316
2568,1.81368
2568,1.81368
2568,0.111112
2568,0.111112
2568,0.156832
2568,0.280939
2568,1.92467
2568,1.92467
2568,3.06142
2568,2.43198
2568,0
2568,0
2568,0.452673
2614,1.46686
2614,2.04329
2614,0.52938
2614,0.538092
2614,2.87887
2614,0
2614,0.939654
2614,0.939654
2614,3.80804
2614,5.34528
2614,0.571944
2629,1.75277
2658,1.62488
2658,2.07464
2658,3.19989
2658,0.951541
2662,1.26921
2662,1.22201
2662,1.74036
2662,1.47646
2662,4.13902
2662,1.21514
2662,2.1639
2662,2.76727
2662,0.213749
2662,1.47646
2662,0.518629
2662,0.518629
2662,0.497952
2662,3.99251
2662,0.944591
2662,0.645661
2662,0.244385
2662,0.244385
2662,0
