cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
17,6.88092e-09,1.15159e-08,5.50474e-08,9.2127e-08
21,5.98311e-09,1.17257e-08,4.78649e-08,9.38057e-08
23,4.2103e-08,5.29712e-08,2.30035e-07,3.68536e-07
25,4.01804e-08,7.87458e-08,3.21443e-07,6.29966e-07
26,1.09344e-08,2.14293e-08,8.74752e-08,1.71434e-07
30,1.79608e-07,2.07989e-07,3.28803e-07,2.84512e-07
78,1.2708e-08,2.49052e-08,0,0
101,1.41281e-07,2.3575e-07,1.7776e-07,2.6969e-07
175,6.07079e-09,1.18976e-08,4.85663e-08,9.51804e-08
206,2.35916e-08,3.5497e-08,4.75107e-08,6.36548e-08
216,8.2235e-09,1.61164e-08,6.5788e-08,1.28932e-07
225,1.5944e-08,3.1247e-08,0,0
236,2.56319e-07,3.55913e-07,5.15805e-07,7.71068e-07
242,1.3049e-07,1.33455e-07,4.25212e-07,3.10668e-07
274,3.86893e-08,7.58234e-08,5.58512e-08,1.09457e-07
279,2.80044e-07,3.61879e-07,8.56975e-07,1.23261e-06
293,1.73244e-07,2.08405e-07,4.96454e-08,9.72953e-08
295,6.6454e-10,1.30237e-09,5.31632e-09,1.04189e-08
312,3.29946e-08,6.4663e-08,2.63957e-07,5.17304e-07
314,8.44026e-08,1.47473e-07,7.8334e-08,1.53519e-07
338,2.57237e-08,5.04134e-08,0,0
339,6.96472e-07,6.48603e-07,2.32316e-07,2.67964e-07
372,1.33926e-08,1.883e-08,1.07141e-07,1.5064e-07
391,5.21901e-08,6.63981e-08,1.15701e-07,1.50931e-07
457,5.63787e-09,1.10491e-08,4.51029e-08,8.83929e-08
462,1.55388e-08,2.17443e-08,1.24311e-07,1.73955e-07
470,2.3479e-08,4.60142e-08,2.19137e-08,4.29465e-08
498,5.93852e-09,1.16383e-08,4.75081e-08,9.31066e-08
499,8.25976e-08,1.01344e-07,2.80607e-07,3.19935e-07
506,1.05944e-07,1.75165e-07,1.41711e-07,2.24296e-07
527,2.20333e-08,4.31809e-08,1.76266e-07,3.45447e-07
541,6.38333e-08,1.25101e-07,0,0
544,1.78782e-08,2.49771e-08,1.43026e-07,1.99817e-07
581,8.1351e-08,1.578e-07,6.69658e-09,1.3124e-08
625,2.05545e-07,1.72369e-07,4.44134e-07,4.74538e-07
626,1.13954e-07,7.87465e-08,2.43238e-07,2.55554e-07
631,4.85037e-08,6.11267e-08,4.30859e-08,8.44399e-08
661,6.45156e-08,8.06259e-08,4.336e-07,6.24445e-07
683,4.76209e-08,9.33276e-08,0,0
717,1.4353e-07,9.74927e-08,4.39039e-07,3.41034e-07
725,8.06435e-08,1.38353e-07,4.73435e-08,9.2784e-08
734,1.12535e-07,1.02526e-07,1.6951e-07,1.98795e-07
763,3.71218e-08,4.52917e-08,1.24331e-07,1.29771e-07
772,2.0668e-09,4.05053e-09,1.65344e-08,3.24043e-08
778,4.01605e-08,4.67344e-08,1.47611e-07,1.54835e-07
779,1.10052e-08,2.15681e-08,8.80418e-08,1.72545e-07
791,3.32899e-09,6.52417e-09,2.66319e-08,5.21933e-08
824,8.33135e-08,6.45103e-08,3.85169e-07,2.87764e-07
831,1.73731e-09,3.40478e-09,1.38985e-08,2.72382e-08
852,2.17581e-08,3.02123e-08,1.74065e-07,2.41698e-07
918,2.03125e-07,2.76487e-07,2.47081e-07,3.14887e-07
936,1.52287e-08,2.24248e-08,3.90119e-08,7.64556e-08
939,3.29635e-08,3.95167e-08,1.38966e-07,2.01844e-07
948,1.24455e-07,2.43908e-07,0,0
950,1.89323e-08,3.71036e-08,8.03752e-08,1.5752e-07
980,2.4803e-07,2.06421e-07,9.9997e-07,9.81923e-07
1056,6.3525e-08,6.46234e-08,1.32625e-07,1.76877e-07
1059,3.14239e-07,4.60037e-07,3.10267e-07,2.71005e-07
1101,2.94259e-07,2.40658e-07,1.02401e-06,1.09795e-06
1111,2.20029e-07,4.07296e-07,1.00666e-07,1.97285e-07
1146,3.88759e-08,5.96504e-08,7.5137e-08,1.47254e-07
1175,7.60609e-08,1.43853e-07,2.16701e-08,4.24691e-08
1176,1.4752e-07,1.01536e-07,6.23265e-07,4.38333e-07
1185,3.75477e-08,4.29051e-08,3.00381e-07,3.43241e-07
1198,3.11884e-09,6.11231e-09,2.49507e-08,4.88985e-08
1200,4.84484e-08,4.33786e-08,3.8666e-07,3.46293e-07
1235,1.26684e-07,2.20707e-07,1.41816e-07,1.68695e-07
1238,1.99139e-07,3.90273e-07,0,0
1273,2.0188e-07,3.3598e-07,2.51309e-07,2.86236e-07
1286,2.82911e-08,4.3428e-08,5.92289e-08,1.16077e-07
1288,4.8692e-08,4.9927e-08,2.10833e-07,2.40045e-07
1369,8.17866e-08,1.09017e-07,1.38442e-07,1.70865e-07
1370,6.76841e-08,8.83217e-08,1.50576e-08,2.95099e-08
1372,2.17252e-07,1.85116e-07,6.40614e-07,6.77608e-07
1376,2.808e-08,3.7173e-08,9.11395e-08,1.41434e-07
1392,6.78956e-08,7.11754e-08,2.80205e-07,2.42376e-07
1406,4.10708e-08,4.71943e-08,2.42375e-07,3.37708e-07
1413,2.62546e-07,2.06587e-07,4.18662e-08,6.1385e-08
1426,9.56983e-08,9.9989e-08,4.49751e-07,6.37993e-07
1443,1.24499e-07,1.33347e-07,6.19417e-07,7.70525e-07
1457,2.22726e-07,2.17382e-07,1.98032e-07,2.35298e-07
1464,1.60624e-08,2.23348e-08,1.28499e-07,1.78679e-07
1477,3.35005e-07,3.0063e-07,5.97823e-07,3.79048e-07
1494,1.82393e-07,2.96858e-07,1.37702e-06,2.21744e-06
1496,8.5147e-08,8.38016e-08,4.62749e-08,6.41249e-08
1517,2.99546e-08,4.8102e-08,1.52568e-07,2.23922e-07
1525,2.5223e-08,4.94322e-08,2.01784e-07,3.95457e-07
1543,1.21491e-07,1.20734e-07,2.89131e-07,3.05988e-07
1588,3.77822e-07,1.95563e-07,1.01804e-06,7.68778e-07
1604,4.0929e-09,8.02127e-09,3.27432e-08,6.41702e-08
1608,6.9039e-08,6.32306e-08,1.48139e-07,1.75723e-07
1624,1.20859e-07,1.0447e-07,3.90554e-07,4.70974e-07
1628,1.49141e-07,1.25721e-07,2.63607e-07,2.89055e-07
1639,6.06966e-08,1.10916e-07,3.35136e-08,4.97522e-08
1644,5.51074e-08,5.44181e-08,1.50104e-07,1.52499e-07
1671,7.05407e-08,7.33138e-08,2.92173e-07,2.99571e-07
1720,1.08077e-07,1.92471e-07,8.64616e-07,1.53977e-06
1745,3.54041e-08,6.93852e-08,0,0
1779,2.97538e-08,5.83116e-08,6.83341e-08,1.33921e-07
1832,6.09416e-09,1.19434e-08,4.87533e-08,9.5547e-08
1885,1.26042e-07,2.13352e-07,0,0
1915,5.12794e-07,3.34055e-07,1.21944e-06,8.87278e-07
1980,5.80129e-08,9.83405e-08,2.18843e-07,3.23704e-07
2013,2.61374e-08,3.7195e-08,6.54505e-08,9.6442e-08
2027,3.53602e-08,4.76003e-08,9.98008e-08,1.2767e-07
2032,3.47639e-07,2.0104e-07,1.02001e-06,7.43194e-07
2073,6.08826e-07,4.43372e-07,9.03764e-07,5.80766e-07
2075,4.94217e-08,6.3064e-08,1.50847e-07,1.57906e-07
2088,5.52147e-08,5.65138e-08,1.14005e-07,1.6489e-07
2111,5.62922e-09,1.10322e-08,4.50338e-08,8.82573e-08
2198,8.43089e-08,1.5578e-07,3.98103e-08,7.80203e-08
2204,7.59087e-07,4.25064e-07,1.22742e-06,7.15542e-07
2214,8.42811e-07,3.87354e-07,2.00564e-06,9.60842e-07
2226,9.91098e-08,1.94236e-07,0,0
2227,3.94803e-06,1.00661e-06,9.27384e-06,2.3627e-06
2228,7.60681e-08,1.1046e-07,1.71857e-07,2.20383e-07
2233,6.98013e-09,1.36797e-08,5.5841e-08,1.09437e-07
2250,1.79037e-08,3.50878e-08,1.4323e-07,2.80702e-07
2266,2.01971e-08,2.24305e-08,1.61577e-07,1.79444e-07
2269,5.99953e-08,6.78951e-08,3.87968e-07,4.69286e-07
2271,6.24484e-07,4.09383e-07,1.36684e-06,1.01108e-06
2275,1.2497e-07,2.44917e-07,0,0
2278,4.58727e-07,3.61956e-07,8.97334e-07,5.10595e-07
2405,7.16842e-08,1.40487e-07,0,0
2414,2.87378e-07,3.23465e-07,7.5544e-07,1.29083e-06
2428,1.68663e-08,1.67037e-08,1.34931e-07,1.3363e-07
2439,5.66303e-09,1.10984e-08,4.53042e-08,8.87874e-08
2447,1.54213e-07,1.32059e-07,2.62823e-07,2.60909e-07
2452,4.65282e-09,9.11861e-09,3.72226e-08,7.29489e-08
2466,1.04425e-08,2.04652e-08,5.55521e-08,1.08871e-07
2469,2.6792e-09,5.2507e-09,2.14336e-08,4.20056e-08
2473,1.15156e-06,4.46576e-07,3.6082e-06,1.28327e-06
2482,2.19253e-08,4.29694e-08,0,0
2488,2.24482e-07,1.32711e-07,4.73246e-07,2.99066e-07
2499,3.73979e-08,5.25167e-08,1.00862e-07,1.59618e-07
2516,3.11405e-07,3.21027e-07,3.52832e-07,2.68909e-07
2524,3.69381e-06,9.02927e-07,1.10858e-05,2.52743e-06
2543,3.87962e-07,5.62173e-07,6.83123e-07,5.77026e-07
2568,5.34598e-07,3.84705e-07,1.48301e-06,7.77843e-07
2614,4.91704e-07,2.89722e-07,5.4126e-07,3.99152e-07
2629,5.02513e-09,9.84827e-09,4.0201e-08,7.87862e-08
2658,2.28344e-07,3.67195e-07,4.27505e-07,3.94812e-07
2662,6.94007e-07,2.83481e-07,1.61802e-06,7.51814e-07
2673,1.15821e-07,9.08601e-08,5.318e-07,4.7593e-07
2676,1.67878e-08,2.69513e-08,1.34303e-07,2.1561e-07
2729,2.14336e-07,3.84701e-07,2.46709e-07,3.50724e-07
2732,0,0,0,0
2735,1.76165e-07,1.01218e-07,7.56509e-07,5.01761e-07
2792,1.19584e-08,2.34362e-08,0,0
2804,1.19324e-09,2.33853e-09,8.09898e-09,1.58724e-08
2816,1.17127e-08,2.29546e-08,0,0
2859,5.27065e-08,5.35253e-08,1.38362e-07,1.60553e-07
2885,6.73692e-08,8.02152e-08,1.20448e-07,1.75643e-07
2944,7.79529e-08,7.87312e-08,5.13065e-07,4.98787e-07
2961,9.75805e-08,7.42186e-08,4.24108e-07,3.42287e-07
2964,4.8888e-08,5.30891e-08,1.29461e-07,1.6724e-07
