cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
5,0,0,38.4677,106.616
17,5.13058,14.2198,264.225,732.321
21,14.0628,38.9761,225.005,623.618
24,0.79869,1.89954,59.9018,125.179
25,1.39922,3.46084,57.368,141.894
44,0.150376,0.234208,16.9925,19.8447
51,0,0,30.3893,84.2264
78,2.0542,4.80454,180.77,320.922
95,0.563002,0.820348,36.7359,39.9515
116,1.70059,4.05358,22.1077,41.907
134,0.769614,0.761028,48.0581,33.3413
143,3.03886,5.67251,108.386,200.798
159,0,0,120.167,333.053
172,13.8368,33.2913,138.368,332.913
217,1.06535,1.25138,52.5894,57.0799
251,0,0,148.883,286.468
277,0,0,46.85,80.6254
312,3.96133,10.9791,79.2266,219.583
365,6.49339,16.8616,201.295,497.639
374,1.10704,2.92807,51.2929,123.101
417,0,0,65.9163,182.692
451,0.251549,0.298486,47.1655,38.0391
452,0,0,70.4132,195.156
458,0.557355,0.474476,31.7208,21.9708
468,4.07584,9.24939,222.133,417
498,2.73911,7.59167,139.695,387.175
502,3.31335,4.37092,136.289,130.536
534,0,0,25.5721,70.8751
611,2.5755,4.10689,109.716,149.524
630,1.26993,3.07793,73.6561,178.52
678,8.98411,24.9002,124.28,344.453
684,0.371337,0.915142,14.8535,31.5708
699,0,0,16.4696,29.2337
720,0,0,148.503,235.878
735,1.86708,4.19575,69.829,121.682
740,0.647216,0.802008,40.6667,34.5329
765,0,0,100.252,277.858
767,4.25628,11.7966,122.013,338.17
769,0.153848,0.296101,31.6157,47.6705
846,1.44383,1.47193,62.8547,56.4774
886,0,0,159.581,442.293
896,0.198177,0.441425,32.8974,58.7677
977,2.21183,3.93383,110.149,181.235
981,3.26871,6.12093,81.4293,149.898
1014,0,0,279.371,774.3
1045,0,0,115.016,243.706
1059,0.582436,0.733264,36.0528,35.7766
1097,1.30353,2.98213,97.7644,166.705
1111,0,0,15.2503,37.8096
1153,5.16981,14.3286,139.585,386.871
1185,2.98038,8.26037,122.196,338.675
1331,0,0,183.542,508.702
1337,2.28047,2.26844,59.5401,48.677
1353,0.811427,1.88973,48.4151,90.9422
1357,2.90112,2.85797,74.8137,48.7362
1406,0.323505,0.701557,26.0422,45.3221
1457,2.2781,6.31394,75.9367,210.465
1496,0,0,20.8038,38.2894
1573,0.696217,1.24757,41.773,59.5588
1604,0,0,244.004,676.278
1620,0.589041,1.10496,39.9369,71.0727
1679,0.415662,0.444858,43.6445,35.0066
1704,2.30857,1.08146,81.2226,30.7822
1705,1.92521,3.11762,77.5586,82.0332
1721,7.17676,16.5669,139.05,299.62
1832,0,0,30.4474,73.1069
1971,0.543196,0.723039,46.7149,39.9334
2037,2.37078,4.30224,43.0388,69.8447
2043,4.12281,9.90421,118.187,232.032
2055,7.50555,20.8022,187.639,520.056
2065,4.64693,12.8793,127.791,354.182
2090,0.933183,1.43583,41.0601,49.7461
2108,0,0,303.641,841.566
2109,0,0,2.47756,6.86677
2117,0,0,201.205,394.793
2155,1.73177,2.88071,65.6339,76.7696
2156,0,0,37.2259,82.8485
2173,4.98115,13.8057,189.284,524.616
2179,1.17373,1.41516,44.6017,43.0836
2198,1.84027,4.54489,40.486,99.9875
2199,0,0,10.628,19.7618
2203,0.439308,0.689695,30.1867,37.9689
2211,0,0,116.313,322.37
2251,1.04235,1.02587,48.941,30.0842
2277,0,0,27.3041,68.2778
2285,0.899005,1.31893,48.3215,57.2965
2295,0,0,53.666,61.5115
2310,0.767708,0.944945,53.8931,37.9603
2381,0.620649,1.41591,27.9292,63.716
2386,12.8484,35.6104,89.9389,249.273
2414,0,0,32.7239,55.7726
2431,0,0,32.8836,81.0288
2437,4.29442,11.6535,167.483,441.091
2439,0,0,20.5852,37.0388
2440,0,0,113.095,230.57
2443,0.568916,1.23705,39.7429,58.434
2453,0.977969,1.7039,31.1972,46.1214
2466,2.80524,4.14254,66.3357,70.466
2468,1.01341,2.36661,33.1528,61.0216
2473,3.41451,5.64816,133.166,198.443
2496,6.2834,14.2653,119.385,200.069
2498,0,0,74.4922,190.97
2532,2.10152,5.30446,31.5228,79.5669
2543,1.90298,3.50303,166.511,300.56
2568,0.853231,0.817188,38.6392,32.1909
2575,0.454803,0.972463,66.4012,79.5606
2583,0.703461,0.792823,33.7661,32.1822
2591,0,0,118.297,327.87
2594,1.76632,4.39613,31.7937,79.1304
2597,1.4486,2.5334,46.645,74.3891
2599,0,0,190.245,527.28
2606,1.08418,2.27921,89.4446,99.2634
2612,0,0,9.86061,26.2797
2629,0,0,71.3766,169.341
2657,3.11372,6.81598,95.6357,156.826
2658,0,0,15.3239,42.4174
2668,0.860801,0.904661,27.6276,21.6069
2677,0.114888,0.264731,13.2121,21.7396
2678,2.75043,2.90346,82.9426,80.858
2714,0,0,45.2497,109.413
2718,0,0,4.70513,12.7593
2727,0,0,173.091,479.737
2747,0.696855,1.14625,64.4591,94.8579
2836,1.73122,3.13136,78.7703,132.43
2847,0,0,71.995,137.369
2856,1.61753,3.701,95.4345,181.232
2858,1.46285,3.38198,51.5655,119.215
2859,0.335455,0.536621,40.3664,37.2747
2863,1.33853,1.55513,43.5023,43.4091
2911,0,0,54.8389,76.7531
2923,4.21528,11.4626,149.643,403.975
2940,0.210162,0.485101,43.9238,69.8697
2953,0.606306,1.39816,17.9871,35.0399
2988,1.77676,3.16591,50.0453,72.9714
3022,1.53337,3.93658,59.8013,132.563
3071,0,0,18.5583,49.2598
3075,1.25054,1.39426,70.4472,59.0553
3107,0.84996,2.19745,31.4485,75.8968
3133,1.09998,2.73411,25.2996,62.8845
3158,5.23,14.4954,230.12,637.796
3179,0.609434,1.66203,8.93837,24.3764
3180,0,0,158.58,439.516
3181,0,0,5.88892,13.3109
3216,0.822775,0.405375,43.1602,15.0032
3278,0,0,75.2962,208.689
3289,2.46141,6.82201,120.609,334.278
3293,0.888908,2.09112,42.1597,95.2015
3405,1.59366,2.69656,116.868,136.394
3413,0,0,125.589,348.081
3414,1.62429,2.2148,84.1383,84.2994
3441,0.675569,0.93003,39.746,37.0239
3449,0.819292,0.401618,55.8365,21.0956
3481,0.215222,0.476762,26.0418,42.0822
3500,2.83595,4.81702,102.094,140.244
3503,1.26697,3.07471,86.1538,171.775
3519,0.330357,0.774118,58.4733,107.648
3528,4.14109,10.0498,115.951,230.993
3540,1.90643,1.65423,82.1355,62.7488
3554,0,0,27.5449,68.3627
3560,0,0,17.1813,38.0909
3563,0.154418,0.326013,65.6277,74.5355
3568,0,0,9.43259,20.1558
3589,0.608983,0.821561,66.8358,60.2785
3599,0,0,36.2883,100.576
3622,4.07795,7.50721,65.2473,130.867
3626,2.39544,5.34137,52.2206,82.0501
3627,0.303255,0.624498,29.2641,29.0936
3631,0.681914,1.49937,21.736,38.7113
3633,0,0,84.1481,233.223
3659,2.42382,4.92699,124.423,246.667
3664,0,0,225.211,497.072
3668,0,0,15.9662,34.9784
3674,0,0,104.711,290.215
3676,0,0,8.3906,21.8313
3690,0,0,35.9583,99.6614
3693,1.53275,2.26409,75.2325,105.797
3699,0,0,18.7545,51.9796
3716,0.30829,0.459217,40.3859,45.3769
3718,0.308791,0.70472,12.8148,21.8639
3719,1.09227,2.2994,41.9746,63.8352
3735,2.14282,3.89473,57.9276,93.9217
3755,0,0,14.6767,38.0855
