cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
5,1.29979e-08,2.54734e-08,1.03983e-07,2.03787e-07
17,1.2994e-08,2.54657e-08,1.03952e-07,2.03725e-07
21,7.11097e-09,1.39361e-08,5.68877e-08,1.11489e-07
24,4.1735e-08,5.62354e-08,1.22133e-07,1.73853e-07
25,2.38228e-08,3.59471e-08,5.42177e-08,1.06256e-07
26,1.16768e-07,1.83063e-07,0,0
27,1.78207e-08,3.49251e-08,0,0
44,4.43332e-07,3.15265e-07,3.61215e-07,3.27143e-07
51,2.52282e-08,4.94423e-08,5.37609e-08,1.05361e-07
78,1.62269e-08,2.07141e-08,1.29815e-07,1.65713e-07
95,4.73651e-07,4.24531e-07,8.1811e-07,4.85758e-07
116,7.84041e-08,1.06377e-07,8.29186e-08,1.04379e-07
132,2.55981e-08,5.01672e-08,0,0
134,7.79612e-07,3.84673e-07,1.98384e-06,9.46981e-07
143,3.29071e-08,3.82481e-08,1.52384e-07,2.15495e-07
159,2.77391e-09,5.43633e-09,2.21913e-08,4.34906e-08
172,3.13175e-08,4.371e-08,1.40384e-07,2.75124e-07
196,9.70978e-11,1.90293e-10,7.76782e-10,1.52234e-09
217,3.44176e-07,1.98548e-07,8.0263e-07,7.40611e-07
228,9.08533e-09,1.78055e-08,0,0
251,4.92558e-09,5.96121e-09,3.94046e-08,4.76896e-08
277,2.77482e-08,3.3812e-08,9.71456e-08,1.15446e-07
295,2.70109e-08,5.29361e-08,0,0
312,8.41468e-09,1.64911e-08,6.73175e-08,1.31929e-07
344,1.41314e-08,2.76949e-08,0,0
365,2.56671e-08,4.3726e-08,2.05337e-07,3.49808e-07
372,4.58005e-08,8.976e-08,0,0
374,9.0331e-08,1.60447e-07,2.3585e-07,3.51119e-07
389,4.4364e-08,8.69447e-08,0,0
417,1.11252e-08,2.18033e-08,8.90018e-08,1.74426e-07
451,5.30049e-07,3.54921e-07,1.43785e-06,6.24125e-07
452,1.60955e-08,3.1544e-08,1.28764e-07,2.52352e-07
458,1.37554e-06,6.51607e-07,2.48208e-06,1.2452e-06
468,1.63566e-08,1.87137e-08,1.30852e-07,1.4971e-07
497,3.65566e-08,7.16438e-08,0,0
498,1.21694e-08,2.38496e-08,9.73551e-08,1.90797e-07
502,1.50904e-07,9.8532e-08,1.14271e-06,7.78118e-07
534,4.95332e-08,9.70754e-08,1.10177e-07,2.15926e-07
611,6.47124e-08,5.97748e-08,3.5777e-07,3.6128e-07
625,3.43212e-08,6.72628e-08,0,0
630,2.62481e-08,3.74298e-08,7.94766e-08,1.55759e-07
678,2.22615e-08,4.36282e-08,1.78092e-07,3.49026e-07
683,4.54739e-08,6.6541e-08,0,0
684,8.97657e-08,1.3413e-07,8.075e-08,9.6892e-08
699,1.07268e-07,1.14927e-07,1.16801e-07,1.66157e-07
720,2.17729e-08,2.43214e-08,1.74183e-07,1.94571e-07
735,8.92657e-08,9.81589e-08,4.64251e-07,5.9985e-07
740,6.18032e-07,3.43619e-07,1.49396e-06,1.01432e-06
765,6.31738e-09,1.23808e-08,5.05391e-08,9.90466e-08
767,2.34947e-08,4.6045e-08,1.87957e-07,3.6836e-07
768,1.65499e-08,3.24345e-08,0,0
769,4.33329e-07,5.78812e-07,5.58087e-07,3.87889e-07
802,8.80944e-08,1.72648e-07,0,0
816,3.14081e-08,5.76925e-08,0,0
846,6.92603e-07,4.65142e-07,2.33179e-06,1.48119e-06
886,5.43088e-09,1.06435e-08,4.3447e-08,8.51476e-08
896,1.682e-07,1.78054e-07,2.47288e-07,3.33078e-07
977,7.53524e-08,8.13788e-08,4.59657e-07,5.87861e-07
981,3.46722e-07,4.33049e-07,1.22916e-06,1.63092e-06
1014,2.62494e-09,5.14438e-09,2.09995e-08,4.1155e-08
1035,2.13699e-08,4.18807e-08,0,0
1045,1.565e-08,2.37662e-08,1.252e-07,1.90129e-07
1059,5.72309e-07,4.08751e-07,9.33383e-07,5.61072e-07
1097,2.55717e-08,3.01802e-08,2.04573e-07,2.41442e-07
1111,8.52441e-08,1.29446e-07,6.31206e-08,1.23704e-07
1153,6.44769e-09,1.26362e-08,5.15815e-08,1.0109e-07
1185,1.11842e-08,2.19189e-08,8.9474e-08,1.75351e-07
1281,5.30373e-10,1.03943e-09,0,0
1331,4.7219e-09,9.25399e-09,3.77752e-08,7.4032e-08
1337,6.72376e-07,3.43119e-07,2.22765e-06,1.44911e-06
1353,2.46479e-07,3.10108e-07,1.31232e-06,1.98571e-06
1357,3.79164e-07,1.59754e-07,1.67789e-06,8.46571e-07
1399,2.05715e-08,4.0316e-08,0,0
1406,2.06076e-07,1.91335e-07,2.95726e-07,4.07961e-07
1457,8.77924e-08,1.72056e-07,3.5276e-07,6.9134e-07
1467,1.40063e-08,2.74495e-08,0,0
1496,2.00284e-07,2.88375e-07,2.37244e-07,2.45655e-07
1573,3.35144e-07,3.24618e-07,7.08701e-07,7.10421e-07
1604,6.14743e-09,1.20478e-08,4.91794e-08,9.63821e-08
1617,7.23482e-08,1.08289e-07,0,0
1620,2.82946e-07,3.49067e-07,7.26301e-07,1.0458e-06
1679,6.41547e-07,4.18672e-07,1.45849e-06,6.42654e-07
