cellID,SSB,statisticalError,DSB,statisticalError
9,8.8e-06,1.72463e-05,0,0
18,6e-07,1.17588e-06,0,0
22,5.8e-06,1.13669e-05,0,0
34,5.6e-06,1.09749e-05,0,0
44,2.26e-05,3.03197e-05,8e-07,1.23941e-06
132,7.8e-06,1.08116e-05,0,0
217,4.8e-06,9.40706e-06,0,0
251,6.2e-06,1.00768e-05,0,0
261,2.88e-05,3.67809e-05,4e-07,7.83922e-07
280,4.8e-06,9.40706e-06,0,0
293,1.2e-05,1.38885e-05,2e-07,3.91961e-07
304,2.06e-05,2.42815e-05,0,0
312,4.6e-06,9.0151e-06,0,0
338,1.7e-05,3.33167e-05,8e-07,1.56784e-06
352,8.82e-05,5.36827e-05,1.4e-06,1.29954e-06
389,5e-06,9.79902e-06,2e-07,3.91961e-07
433,4.2e-06,8.23118e-06,0,0
502,2.6e-06,5.09549e-06,0,0
541,0.0001236,7.06532e-05,1.4e-06,1.29954e-06
574,1.04e-05,2.0382e-05,0,0
581,4.8e-06,9.40706e-06,0,0
640,0.0005026,0.000413795,8.4e-06,8.56722e-06
655,6e-06,1.17588e-05,0,0
658,1.28e-05,1.80455e-05,0,0
678,0.0003294,0.000193968,7e-06,7.10759e-06
683,2.1e-05,4.11559e-05,6e-07,1.17588e-06
740,4.42e-05,3.02507e-05,2e-07,3.91961e-07
746,1.4e-06,2.74373e-06,0,0
748,4.12e-05,7.47349e-05,2.2e-06,4.31157e-06
767,0.000143,9.37386e-05,3.4e-06,3.20727e-06
770,6.24e-05,5.1605e-05,6e-07,6.7876e-07
779,4.88e-05,4.13334e-05,8e-07,9.59944e-07
791,7.8e-06,1.41593e-05,0,0
812,2.18e-05,3.33514e-05,2e-07,3.91961e-07
824,9.28e-05,9.95379e-05,1.2e-06,1.66278e-06
831,3.6e-06,7.05529e-06,0,0
873,1.94e-05,3.36461e-05,1e-06,1.9598e-06
878,6.02e-05,4.95394e-05,1e-06,1.17567e-06
909,9.9e-05,6.41037e-05,3.2e-06,3.32505e-06
940,6.8e-06,1.33267e-05,0,0
950,4.4e-06,8.62314e-06,4e-07,7.83922e-07
956,5.2e-06,1.0191e-05,0,0
957,0.0002304,0.000119212,4.4e-06,3.59067e-06
1045,2.8e-06,5.48745e-06,0,0
1092,0.0013256,0.000495236,3.06e-05,1.54446e-05
1124,4.3e-05,8.42716e-05,4e-07,7.83922e-07
1142,2.3e-05,2.16644e-05,0,0
1169,1.2e-05,2.35176e-05,4e-07,7.83922e-07
1198,5.48e-05,6.84655e-05,1.6e-06,2.7715e-06
1203,8.8e-06,1.72463e-05,4e-07,7.83922e-07
1207,0.000204,8.86214e-05,3e-06,2.56917e-06
1315,2.28e-05,2.20128e-05,2e-07,3.91961e-07
1389,5e-06,9.79902e-06,0,0
1406,5.2e-05,3.75758e-05,2e-07,3.91961e-07
1427,1.2e-06,2.35176e-06,0,0
1443,9e-06,1.76382e-05,2e-07,3.91961e-07
1448,3.74e-05,3.7002e-05,6e-07,1.17588e-06
1467,0.0002132,0.000136277,5.4e-06,4.3094e-06
1487,0.0001264,7.39937e-05,3e-06,3.57032e-06
1537,8e-06,1.56784e-05,8e-07,1.56784e-06
1564,2.28e-05,2.58702e-05,0,0
1588,3.12e-05,3.33526e-05,4e-07,5.54261e-07
1617,7.2e-06,1.16928e-05,0,0
1686,1.18e-05,2.31257e-05,2e-07,3.91961e-07
1691,5e-06,9.79902e-06,0,0
1711,1.54e-05,2.52948e-05,2e-07,3.91961e-07
1717,8.8e-06,1.72463e-05,4e-07,7.83922e-07
1720,0.0001316,7.48231e-05,1.8e-06,1.51739e-06
1783,5.8e-06,1.13669e-05,0,0
1813,4.4e-06,8.62314e-06,0,0
1832,2.04e-05,2.20425e-05,0,0
1896,4.96e-05,9.72063e-05,1.8e-06,3.52765e-06
1947,2.6e-06,5.09549e-06,2e-07,3.91961e-07
2003,6.8e-06,1.33267e-05,0,0
2086,9.58e-05,6.68554e-05,1.2e-06,1.66278e-06
2098,1.3e-05,1.93004e-05,4e-07,7.83922e-07
2137,6e-06,1.17588e-05,0,0
2164,2.8e-06,5.48745e-06,0,0
2171,0.0001028,6.47538e-05,1.4e-06,1.41284e-06
2179,1.14e-05,1.27527e-05,0,0
2190,4e-06,7.83922e-06,0,0
2197,9.6e-06,1.88141e-05,2e-07,3.91961e-07
2198,6.34e-05,6.80985e-05,1.8e-06,2.18199e-06
2211,3.2e-06,6.27137e-06,0,0
2274,6e-07,1.17588e-06,0,0
2381,4.34e-05,4.3258e-05,6e-07,1.17588e-06
2391,6.2e-06,1.21508e-05,0,0
2403,0.0005094,0.000183538,1.34e-05,7.07885e-06
2431,9e-06,1.28382e-05,0,0
2466,2.28e-05,4.06007e-05,1e-06,1.9598e-06
2496,0.0001888,9.82863e-05,4.8e-06,3.75758e-06
2549,2.72e-05,3.99692e-05,2e-07,3.91961e-07
2569,0.000103,6.04849e-05,4e-07,5.54261e-07
2600,1.2e-05,2.35176e-05,0,0
2656,0.0001072,5.89886e-05,1.6e-06,1.56737e-06
2657,2.5e-05,4.89951e-05,6e-07,1.17588e-06
2670,1.5e-05,2.93971e-05,0,0
2688,7.8e-06,1.52865e-05,4e-07,7.83922e-07
2689,6.4e-06,1.25427e-05,0,0
2714,4.78e-05,4.35589e-05,1.4e-06,1.70825e-06
2715,0.0001504,7.58466e-05,3.4e-06,2.56879e-06
2729,4.38e-05,4.19667e-05,4e-07,5.54261e-07
2762,2.72e-05,4.71156e-05,1e-06,1.9598e-06
2779,1.6e-06,3.13569e-06,0,0
2783,8.44e-05,5.76018e-05,2.6e-06,3.01015e-06
2807,3.84e-05,2.80619e-05,4e-07,5.54261e-07
2849,4.78e-05,4.41232e-05,2.2e-06,3.57077e-06
2858,6.8e-06,1.33267e-05,0,0
2907,4.7e-05,3.28485e-05,4e-07,5.54261e-07
2943,5.16e-05,4.07429e-05,8e-07,9.59944e-07
2963,9.2e-06,1.80302e-05,4e-07,7.83922e-07
2988,0.0001106,8.191e-05,2.6e-06,3.65562e-06
3007,4.8e-06,9.40706e-06,0,0
3035,1.16e-05,1.40319e-05,0,0
3067,0.0001176,0.000148531,4.8e-06,6.39194e-06
3071,2.44e-05,3.01993e-05,0,0
3084,7e-06,1.37186e-05,0,0
3085,1.26e-05,2.46935e-05,1e-06,1.9598e-06
3093,6.2e-06,1.21508e-05,0,0
3138,0.0010782,0.0003563,2.2e-05,9.5021e-06
3143,0.0001178,0.000182588,1.6e-06,3.13569e-06
3185,0.0001898,0.000191279,4.2e-06,4.58677e-06
3204,1.4e-06,2.74373e-06,0,0
3216,5.8e-06,8.80764e-06,0,0
3256,3.02e-05,4.88609e-05,8e-07,1.56784e-06
3262,0.0012064,0.000379421,2.78e-05,1.34264e-05
3269,0.0002126,0.000108389,3e-06,2.6283e-06
3273,0.0001666,9.4655e-05,4.6e-06,4.2018e-06
3280,5e-06,9.79902e-06,0,0
3293,6.66e-05,4.82444e-05,2e-06,2.21679e-06
3340,0.0001738,0.000125266,4e-06,3.59103e-06
3384,1.74e-05,3.22001e-05,0,0
3400,1.04e-05,1.47481e-05,0,0
3412,1.1e-05,2.15578e-05,0,0
3414,8.8e-06,1.72463e-05,0,0
3488,2e-06,3.91961e-06,0,0
