cellID,DSBDimension
1,0.428415
1,3.13704
1,1.63792
1,0.373197
633,1.07754
772,2.05469
772,2.45345
772,0.141402
1169,1.94935
1169,5.30747
1169,0
1169,0.309643
1169,4.84698
1169,1.36832
1169,0
1169,0
1169,0.706744
1169,2.62177
1169,1.58506
1169,2.00982
1169,0.180802
1169,2.96024
1169,2.11573
1169,0
1169,1.33264
1169,3.18238
1169,1.67194
1169,2.93785
1169,4.84698
1170,1.82427
1170,0.0387717
1170,2.20299
1386,1.44686
1758,3.11703
2098,1.91603
2098,1.91603
2098,1.24783
3353,2.64726
3353,1.42377
3353,1.42377
3828,0.0358204
3845,2.48299
4058,2.03093
4058,3.30013
4058,4.12874
4058,1.69017
4058,0.34955
4058,0.34955
4058,2.87077
4058,0.34955
4059,2.51428
4059,2.07555
4059,0.634426
4059,1.65053
4059,4.57333
4059,0.878198
4059,3.5459
4059,3.1034
4064,1.5854
4121,2.99672
4121,1.04614
4121,2.10298
4121,2.03133
4204,2.11787
4204,0.484998
4216,1.52582
4216,0.278233
4216,2.58514
4233,3.17056
4238,1.30622
4238,1.97014
4238,2.23939
4238,0.895535
4251,2.57342
4251,2.08971
4251,2.12516
4251,2.46938
4251,3.0401
4251,2.26735
4251,2.12516
4254,2.02254
4254,2.88392
4254,0
4268,0.695624
4268,0.329904
4269,1.50093
4276,0.227644
4276,0.227644
4278,2.24989
4278,1.30802
4279,1.29745
4285,0.244665
4286,2.8118
4286,0.637375
4286,1.99662
4286,1.99662
4286,0.77965
4286,2.46306
4286,1.99662
4286,1.99662
4286,3.03433
4289,2.27086
4289,2.27086
4295,2.4569
4295,4.80296
4295,3.11997
4295,0.0474123
4295,1.69382
4295,2.92048
