cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
1,4.46512e-08,5.46329e-08,3.56698e-07,4.36817e-07
5,1.12215e-07,1.82636e-07,3.91406e-08,6.44713e-08
27,1.10026e-07,1.96765e-07,8.10945e-08,1.58929e-07
30,2.49394e-08,4.34094e-08,2.39353e-08,4.69085e-08
633,1.37023e-08,2.68539e-08,1.09619e-07,2.14831e-07
720,1.89566e-08,2.5547e-08,1.32719e-07,2.00989e-07
772,4.5736e-08,6.49611e-08,1.96095e-07,2.25875e-07
1169,1.66123e-07,2.8509e-07,8.60672e-07,1.37257e-06
1170,3.26419e-08,4.10961e-08,2.61135e-07,3.28768e-07
1386,3.92126e-08,4.48558e-08,9.89187e-08,1.93861e-07
1715,1.06995e-07,1.3247e-07,1.05329e-07,1.84754e-07
1758,5.31783e-08,7.80112e-08,1.38789e-07,2.72e-07
1782,5.99973e-09,1.17583e-08,4.79978e-08,9.40663e-08
2063,6.85967e-08,1.26101e-07,3.52243e-08,6.90327e-08
2098,6.15445e-08,7.66695e-08,1.24041e-07,1.50882e-07
2129,2.6103e-08,5.11567e-08,0,0
3000,1.13632e-07,1.89677e-07,4.38613e-08,7.09295e-08
3229,2.35316e-09,4.61174e-09,1.88253e-08,3.68939e-08
3281,4.92053e-09,9.64327e-09,3.93642e-08,7.71462e-08
3353,2.14339e-08,3.7522e-08,1.51917e-07,2.97727e-07
3683,6.2578e-08,8.49484e-08,7.65909e-08,1.20039e-07
3734,1.34991e-07,1.61798e-07,4.57498e-08,6.9529e-08
3739,3.175e-09,6.22237e-09,2.54e-08,4.9779e-08
3748,1.23013e-08,2.4108e-08,0,0
3828,5.83961e-08,7.05486e-08,6.65908e-08,9.89066e-08
3835,2.48319e-08,4.22746e-08,2.84431e-08,5.5743e-08
3845,1.8928e-07,2.63245e-07,1.29603e-07,1.52118e-07
4027,1.08467e-08,1.51334e-08,8.67734e-08,1.21068e-07
4049,2.88535e-08,3.73183e-08,1.4113e-07,1.64831e-07
4058,1.2991e-07,1.22908e-07,4.43461e-07,4.77118e-07
4059,2.40742e-08,4.71807e-08,1.92593e-07,3.77445e-07
4064,2.08702e-08,4.09015e-08,6.88704e-08,1.34973e-07
4120,1.5038e-07,1.58988e-07,2.15593e-07,3.62368e-07
4121,2.57792e-08,3.99448e-08,2.06233e-07,3.19558e-07
4137,8.34269e-08,1.19961e-07,0,0
4156,1.60721e-07,2.54306e-07,1.7566e-08,3.4426e-08
4178,7.71256e-08,1.41657e-07,4.01424e-08,7.86712e-08
4204,2.32152e-08,3.21991e-08,8.87915e-08,1.74014e-07
4207,2.73794e-08,4.12473e-08,6.27999e-08,1.23075e-07
4211,1.74799e-08,2.50426e-08,1.39839e-07,2.00341e-07
4212,2.14622e-08,3.59096e-08,2.77599e-08,5.44039e-08
4216,7.82394e-08,9.79504e-08,2.61077e-07,3.20839e-07
4218,5.22541e-08,6.84423e-08,6.18891e-08,1.21291e-07
4221,4.32062e-08,8.46757e-08,0,0
4231,1.14856e-08,1.64901e-08,9.18845e-08,1.31921e-07
4233,2.8548e-08,4.45871e-08,5.4818e-08,1.07433e-07
4235,1.11955e-08,2.19411e-08,8.95644e-08,1.75529e-07
4236,1.52652e-08,2.16636e-08,1.22121e-07,1.73309e-07
4237,1.22192e-08,2.05923e-08,9.77537e-08,1.64738e-07
4238,5.70482e-08,5.93216e-08,3.92016e-07,4.57541e-07
4240,1.28276e-08,2.02475e-08,1.0262e-07,1.6198e-07
4251,2.76862e-08,4.40258e-08,2.21489e-07,3.52207e-07
4254,6.22547e-08,9.94896e-08,9.64545e-08,1.18896e-07
4262,5.13687e-09,1.00672e-08,4.10949e-08,8.0538e-08
4268,3.16336e-08,2.81385e-08,2.53069e-07,2.25108e-07
4269,1.10051e-07,1.21241e-07,9.09601e-08,1.16578e-07
4272,1.05099e-08,1.26451e-08,8.40795e-08,1.01161e-07
4276,5.15541e-08,7.12135e-08,7.64787e-08,1.25613e-07
4277,1.41377e-08,2.77072e-08,2.61189e-08,5.1188e-08
4278,6.2705e-08,7.8365e-08,1.81455e-07,3.47294e-07
4279,2.8299e-08,3.31931e-08,1.25629e-07,1.77586e-07
4280,6.06219e-09,1.18807e-08,4.84975e-08,9.50457e-08
4283,1.92243e-08,3.76758e-08,0,0
4284,6.84282e-08,6.58919e-08,1.93757e-08,3.79725e-08
4285,1.07338e-07,1.4359e-07,2.55966e-07,3.13878e-07
4286,4.21953e-08,4.8478e-08,2.5274e-07,3.50437e-07
4287,1.30114e-07,2.42317e-07,5.24508e-08,7.26792e-08
4288,6.25603e-09,1.22606e-08,5.00483e-08,9.80848e-08
4289,2.17149e-08,3.04721e-08,1.73719e-07,2.43777e-07
4290,7.10488e-09,1.39242e-08,5.68391e-08,1.11393e-07
4291,7.74472e-09,1.51781e-08,6.19578e-08,1.21425e-07
4293,2.29065e-08,2.46311e-08,1.83252e-07,1.97049e-07
4294,1.10324e-07,1.8503e-07,6.4381e-08,1.26174e-07
4295,7.78343e-08,1.0738e-07,2.82308e-07,4.1097e-07
4296,5.08566e-09,9.96689e-09,4.06853e-08,7.97352e-08
4297,2.8383e-08,5.56251e-08,3.40746e-08,6.67796e-08
4298,1.06283e-07,2.08293e-07,0,0
