cellID,SSB,statisticalError,DSB,statisticalError
5,4.4e-06,8.62314e-06,0,0
17,1.32e-05,1.78312e-05,2e-07,3.91961e-07
149,7e-06,1.37186e-05,0,0
279,3.8e-06,7.44726e-06,2e-07,3.91961e-07
407,5.6e-06,8.6759e-06,0,0
410,6.82e-05,8.82355e-05,1.2e-06,1.99854e-06
517,1.6e-06,3.13569e-06,0,0
522,5.26e-05,5.17041e-05,2e-06,2.6581e-06
581,6.8e-06,1.33267e-05,0,0
657,3.9e-05,5.23601e-05,1.4e-06,2.74373e-06
778,9.4e-06,1.33772e-05,0,0
815,8.2e-06,1.60704e-05,0,0
1043,2.8e-06,4.46881e-06,0,0
1092,6.18e-05,6.45122e-05,1.6e-06,2.7715e-06
1204,2.36e-05,2.43457e-05,0,0
1226,1.38e-05,2.70453e-05,0,0
1340,1.28e-05,2.35695e-05,2e-07,3.91961e-07
1406,6.98e-05,7.93339e-05,2e-06,3.91961e-06
1637,1.46e-05,2.15705e-05,6e-07,1.17588e-06
1716,1.64e-05,3.21408e-05,0,0
1791,1.6e-05,2.80512e-05,4e-07,7.83922e-07
2198,7.2e-06,1.41106e-05,0,0
2248,2.8e-06,5.48745e-06,0,0
2290,1.44e-05,1.63561e-05,2e-07,3.91961e-07
2332,1.46e-05,2.19798e-05,8e-07,1.23941e-06
3204,0.0001052,0.000189815,1e-06,1.9598e-06
3919,3.8e-06,7.44726e-06,0,0
3934,6e-06,1.17588e-05,0,0
3953,2.02e-05,2.45523e-05,0,0
3960,4.18e-05,6.21592e-05,1.4e-06,1.95962e-06
4065,6.6e-06,1.08406e-05,0,0
4067,1.4e-05,2.23441e-05,0,0
4073,8.2e-06,1.60704e-05,0,0
4082,6.2e-06,8.63119e-06,0,0
4109,1.94e-05,3.80202e-05,6e-07,1.17588e-06
4110,1.84e-05,2.92882e-05,4e-07,7.83922e-07
4130,1.72e-05,2.19888e-05,0,0
4140,2e-06,3.91961e-06,0,0
4157,1.18e-05,1.95305e-05,6e-07,1.17588e-06
4161,8e-06,1.56784e-05,0,0
4194,1.76e-05,3.44926e-05,8e-07,1.56784e-06
4215,1.2e-05,2.35176e-05,2e-07,3.91961e-07
4223,3.6e-06,7.05529e-06,0,0
4249,9.16e-05,0.000142791,1.6e-06,3.13569e-06
4250,2.38e-05,2.82081e-05,4e-07,5.54261e-07
4257,8.8e-06,1.33948e-05,4e-07,7.83922e-07
4266,9.6e-06,1.63024e-05,2e-07,3.91961e-07
4286,3.52e-05,3.25804e-05,4e-07,7.83922e-07
4289,1.5e-05,1.86267e-05,0,0
4295,3.08e-05,3.10034e-05,2e-07,3.91961e-07
4309,1.48e-05,1.82981e-05,0,0
4340,2.32e-05,3.23615e-05,2e-07,3.91961e-07
4349,3.8e-05,5.50795e-05,1.6e-06,2.2853e-06
4353,3.4e-06,6.66333e-06,0,0
4354,2.28e-05,3.76675e-05,8e-07,1.56784e-06
4355,1.06e-05,1.76027e-05,4e-07,7.83922e-07
4356,1.12e-05,1.76416e-05,2e-07,3.91961e-07
4358,3e-06,5.87941e-06,0,0
4361,1.1e-05,1.53051e-05,2e-07,3.91961e-07
4365,1.4e-05,1.63188e-05,0,0
4370,4.6e-06,9.0151e-06,0,0
4371,2.04e-05,2.10366e-05,0,0
4375,4e-07,7.83922e-07,0,0
4376,2.34e-05,3.60688e-05,8e-07,1.56784e-06
4377,3.2e-06,6.27137e-06,0,0
4378,1.72e-05,3.37086e-05,6e-07,1.17588e-06
4382,7.22e-05,9.39533e-05,1.6e-06,2.7715e-06
4387,6.6e-05,0.000113858,1.8e-06,3.16001e-06
4389,2.92e-05,4.3538e-05,4e-07,5.54261e-07
