cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
5,0,0,147.284,408.211
17,1.42862,3.47676,94.2889,186.363
149,0,0,19.649,47.6365
279,4.3432,12.0375,82.5208,228.713
407,0,0,191.874,454.649
410,1.41088,2.88527,80.1852,140.775
517,0,0,166.274,460.841
522,4.32463,6.70459,113.738,144.02
581,0,0,148.987,412.93
657,4.08261,8.96129,113.73,189.613
778,0,0,17.1387,39.0212
815,0,0,34.5285,84.4897
1043,0,0,5.83552,12.2812
1092,2.10373,4.78925,81.2567,146.98
1204,0,0,65.6381,117.923
1226,0,0,200.151,554.735
1340,1.92847,4.84142,123.422,298.58
1406,2.06178,4.74161,71.956,119.107
1637,0.882636,1.98472,21.4775,39.5926
1716,0,0,118.58,285.567
1791,3.47406,8.97921,138.962,337.918
2198,0,0,66.3776,162.447
2248,0,0,78.6145,217.886
2290,0.477072,1.19489,34.3492,66.272
2332,8.57599,18.2253,156.512,327.647
3204,0.608042,1.52086,63.966,152.327
3919,0,0,49.253,118.451
3934,0,0,81.1782,196.973
3953,0,0,63.3771,107.655
3960,3.31846,6.0236,99.0798,186.602
4065,0,0,45.2418,112.676
4067,0,0,22.056,47.0632
4073,0,0,30.9668,80.432
4082,0,0,7.98077,15.9166
4109,0.646363,1.61428,20.8991,52.195
4110,4.58225,11.6978,210.783,481.118
4130,0,0,17.3435,26.9328
4140,0,0,144.569,400.685
4157,7.61925,18.3565,149.845,324.961
4161,0,0,169.887,470.856
4194,1.40451,3.54125,30.8993,77.9075
4215,0.184921,0.502349,11.0952,30.1409
4223,0,0,132.488,367.202
4249,2.61123,5.7716,149.493,278.661
4250,0.962671,1.70622,57.2789,92.8209
4257,1.5767,4.18635,34.6875,81.5396
4266,0.105125,0.232928,5.04601,10.0317
4286,1.45866,3.11354,128.362,160.942
4289,0,0,78.6471,133.72
4295,0.995778,2.20632,153.35,221.252
4309,0,0,45.0546,84.7316
4340,0.842599,2.01072,97.7415,190.52
4349,3.46093,6.90548,82.1972,165.254
4353,0,0,112.889,312.882
4354,7.46377,18.9442,212.717,491.133
4355,0.61513,1.46007,16.3009,34.7742
4356,2.20349,5.16867,123.396,251.147
4358,0,0,6.99275,16.9279
4361,0.212724,0.479279,11.6998,20.8354
4365,0,0,37.5247,74.7569
4370,0,0,24.7541,60.9026
4371,0,0,24.5585,41.8943
4375,0,0,0.999216,2.48916
4376,1.30221,3.21378,38.0897,81.9224
4377,0,0,177.854,492.938
4378,4.91058,13.6101,140.77,390.156
4382,2.03313,4.03657,91.7452,148.917
4387,2.38288,5.28042,87.3721,191.516
4389,5.14731,10.1331,375.753,768.101
4392,0.920467,1.80102,19.3298,36.6551
4397,0,0,84.7207,156.992
4398,0.267567,0.71304,7.49187,18.0554
4400,0,0,27.3939,39.1817
4402,0,0,122.801,340.353
4405,0.741309,1.92528,45.9611,103.021
4407,0.929887,1.98792,60.4426,86.4685
4411,0.426491,1.00752,16.6331,33.0329
4413,7.09076,17.8982,195.705,432.766
4414,0.667236,1.53536,68.7253,129.876
4418,1.06744,1.77289,80.0576,92.1672
4432,0,0,38.7965,94.0207
4436,0.143038,0.313422,6.4367,14.104
4438,0,0,185.462,514.023
4442,0.219883,0.507114,35.841,58.4164
4445,0,0,7.50076,19.9072
4446,1.62641,3.55787,151.256,216.906
4447,0.497135,1.09263,55.6791,122.374
4449,0,0,83.6671,231.89
4454,1.78224,4.27777,201.393,400.257
4457,0.210729,0.567507,45.0959,113.198
4459,0,0,38.8781,90.1909
4461,0.86115,1.93462,45.928,73.8396
4463,0,0,38.8946,84.0566
4464,0,0,171.693,475.86
4465,1.96184,3.40292,110.844,172.917
4466,0,0,147.343,238.666
4468,4.97128,8.07951,146.156,200.17
4469,0.381233,0.835397,51.8477,78.4865
4470,0,0,200.247,555
4471,2.16599,3.91504,66.4237,111.858
4472,0,0,49.9546,92.4852
4473,0,0,44.9973,83.147
4474,2.773,6.85825,49.9141,117.377
4475,2.27937,4.20138,80.6899,128.7
4476,1.33667,2.96507,93.5667,138.23
4477,5.3904,14.9399,107.808,298.799
4479,0,0,161.665,448.066
4481,0,0,19.6571,47.2819
4484,1.0525,1.84388,48.7659,70.9206
4488,0,0,66.7691,185.056
4489,0,0,57.9791,119.072
4490,0,0,9.62309,25.5021
4491,3.88865,10.7777,66.1071,183.221
4494,2.92682,7.189,111.219,227.864
4496,0.788324,1.99247,12.6132,31.8795
4497,0.65654,1.35243,42.6751,79.4759
4498,4.33402,9.11895,61.5431,119.244
4500,0,0,157.623,436.864
