cellID,SSB,statisticalError,DSB,statisticalError
6,1.1e-05,2.15578e-05,0,0
17,1.42e-05,2.78292e-05,4e-07,7.83922e-07
22,2.36e-05,4.62514e-05,2.8e-06,5.48745e-06
26,7.6e-06,1.48945e-05,4e-07,7.83922e-07
29,2.4e-06,4.70353e-06,0,0
51,2.08e-05,2.14987e-05,6e-07,8.76381e-07
79,1.4e-06,2.74373e-06,0,0
101,4.28e-05,5.12439e-05,1.2e-06,1.99854e-06
139,1.98e-05,2.76048e-05,4e-07,5.54261e-07
159,9.2e-06,1.80302e-05,4e-07,7.83922e-07
175,1.44e-05,2.82212e-05,0,0
208,2.2e-06,4.31157e-06,0,0
225,1.82e-05,3.07947e-05,4e-07,7.83922e-07
251,1.64e-05,3.21408e-05,1e-06,1.9598e-06
293,3e-06,5.87941e-06,0,0
304,0.0001592,0.000120393,3.8e-06,3.39319e-06
314,4.36e-05,4.36768e-05,1e-06,1.17567e-06
344,0.001165,0.000255738,1.86e-05,7.73413e-06
354,8.32e-05,5.21867e-05,8e-07,1.10852e-06
470,1.42e-05,1.96938e-05,8e-07,1.23941e-06
499,0.0001554,0.000282537,4.4e-06,6.94519e-06
522,2.56e-05,2.90364e-05,1e-06,1.17567e-06
534,8e-06,1.56784e-05,2e-07,3.91961e-07
556,7.24e-05,5.22373e-05,8e-07,9.59944e-07
588,3.14e-05,3.70146e-05,4e-07,7.83922e-07
633,7.82e-05,5.74282e-05,2.4e-06,2.65784e-06
658,1.94e-05,2.91852e-05,2e-07,3.91961e-07
699,7e-06,1.37186e-05,0,0
704,5.2e-06,1.0191e-05,4e-07,7.83922e-07
717,6.2e-05,5.24208e-05,8e-07,9.59944e-07
734,1.26e-05,2.46935e-05,0,0
746,8.04e-05,5.08629e-05,4e-07,5.54261e-07
763,0.0001734,0.000114775,4.6e-06,4.23821e-06
767,3.68e-05,3.54088e-05,2e-07,3.91961e-07
768,2.8e-06,5.48745e-06,0,0
770,2.1e-05,2.91633e-05,4e-07,7.83922e-07
831,6.2e-06,1.21508e-05,2e-07,3.91961e-07
846,8.8e-06,1.25048e-05,0,0
884,1.32e-05,1.92565e-05,4e-07,7.83922e-07
936,2e-06,3.91961e-06,0,0
