cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
6,2.75318e-08,4.88326e-08,2.2147e-08,4.34038e-08
8,1.74485e-09,3.41957e-09,1.39588e-08,2.73566e-08
9,1.4195e-07,2.45102e-07,0,0
14,1.2673e-08,1.75614e-08,1.00908e-07,1.40477e-07
17,7.18683e-09,1.40848e-08,5.74946e-08,1.12678e-07
27,2.42171e-07,4.74609e-07,0,0
30,4.17157e-07,2.1635e-07,1.29203e-06,6.57729e-07
79,2.93603e-08,5.75404e-08,0,0
95,1.69336e-07,1.57558e-07,4.47586e-07,3.5187e-07
116,7.10441e-07,4.29674e-07,1.52756e-06,8.99412e-07
143,9.50832e-08,1.46257e-07,7.1523e-08,9.95998e-08
206,1.33854e-07,2.03834e-07,3.03774e-07,3.32228e-07
214,1.58074e-07,1.04721e-07,7.06551e-07,4.62658e-07
225,5.32657e-07,2.45035e-07,1.64753e-06,8.59142e-07
233,1.68151e-07,3.29544e-07,5.99045e-08,1.17401e-07
295,2.94692e-08,5.77538e-08,3.74748e-08,7.34432e-08
296,3.56742e-07,3.83619e-07,5.84426e-07,5.42235e-07
312,5.96133e-08,9.87104e-08,6.51318e-08,7.90508e-08
314,9.49783e-07,5.01925e-07,1.80263e-06,1.38846e-06
332,4.87026e-09,9.54476e-09,0,0
344,5.40525e-07,2.56208e-07,1.89697e-06,1.21111e-06
349,2.68871e-08,5.26935e-08,2.15097e-07,4.21548e-07
370,7.32128e-07,3.486e-07,1.27586e-06,6.19386e-07
389,3.94043e-09,7.72248e-09,3.15235e-08,6.17798e-08
401,3.28788e-08,4.02932e-08,2.63031e-07,3.22346e-07
407,2.42223e-10,4.7471e-10,1.93778e-09,3.79768e-09
410,9.89613e-07,4.98408e-07,1.90357e-06,1.06298e-06
433,3.81792e-08,3.53324e-08,2.07456e-07,2.07502e-07
452,2.5579e-06,7.61094e-07,7.28269e-06,2.85108e-06
454,2.38254e-08,3.78999e-08,4.15778e-08,8.14843e-08
461,3.11032e-08,6.09562e-08,0,0
534,6.96546e-08,1.36509e-07,8.88952e-08,1.74217e-07
556,5.30579e-07,2.76088e-07,2.05743e-06,9.85202e-07
570,9.34656e-08,8.84942e-08,5.35281e-07,6.4398e-07
573,2.76624e-09,5.42129e-09,2.21299e-08,4.33703e-08
611,3.3746e-09,6.61355e-09,2.69968e-08,5.29084e-08
625,2.26014e-08,3.79183e-08,7.37814e-08,1.04722e-07
631,2.76794e-07,1.78674e-07,5.39564e-07,3.35471e-07
633,2.44553e-08,4.79277e-08,0,0
647,4.42862e-09,8.67922e-09,3.54289e-08,6.94338e-08
655,3.24675e-07,1.85568e-07,9.7716e-07,5.00302e-07
699,5.98023e-08,6.94635e-08,0,0
704,6.91432e-09,1.35507e-08,5.53146e-08,1.08406e-07
734,1.09469e-08,2.14537e-08,0,0
763,1.6929e-07,3.31775e-07,0,0
770,4.16558e-08,6.88266e-08,5.50089e-08,7.65219e-08
772,1.18126e-07,1.12621e-07,3.25703e-07,2.74654e-07
782,3.55367e-08,5.78192e-08,6.80581e-08,1.10325e-07
809,5.46401e-09,1.07084e-08,0,0
816,4.74366e-07,2.23624e-07,1.38006e-06,7.35569e-07
823,5.15034e-07,3.86681e-07,9.35124e-07,7.3972e-07
863,4.23143e-08,8.29277e-08,3.38514e-07,6.63422e-07
886,1.14256e-06,4.41736e-07,3.84602e-06,1.66314e-06
909,6.43007e-07,4.75897e-07,1.87135e-06,1.94168e-06
977,5.24851e-08,1.02861e-07,0,0
1008,2.34635e-08,4.59839e-08,0,0
1017,1.26711e-07,9.27754e-08,4.72595e-07,4.77699e-07
1045,1.25629e-08,2.28768e-08,9.30909e-08,1.8244e-07
1059,3.72166e-08,5.82634e-08,1.54696e-07,2.15168e-07
1190,3.05327e-08,3.6743e-08,0,0
1207,5.03424e-08,8.16513e-08,7.88909e-08,1.54611e-07
1232,3.17948e-07,1.46366e-07,1.31548e-06,6.75769e-07
1246,1.40478e-08,1.59411e-08,1.12382e-07,1.27529e-07
1288,6.4337e-09,1.26088e-08,5.14696e-08,1.0087e-07
1299,5.93717e-09,1.16357e-08,0,0
1375,2.71041e-08,4.00741e-08,2.16019e-07,3.19142e-07
1376,7.58719e-08,1.01273e-07,2.05365e-07,1.92427e-07
1413,6.80715e-08,8.14313e-08,5.0398e-07,6.26849e-07
1415,9.57196e-08,1.79367e-07,3.43733e-08,6.7365e-08
1448,7.71045e-08,1.5111e-07,0,0
1461,7.48741e-09,1.46738e-08,5.98993e-08,1.17391e-07
1472,3.99526e-09,7.82992e-09,3.19621e-08,6.26394e-08
1537,8.91812e-09,1.74778e-08,7.1345e-08,1.39822e-07
1554,6.35232e-09,1.24493e-08,5.08185e-08,9.95944e-08
1564,6.53094e-08,5.62337e-08,3.2449e-07,2.69839e-07
1603,4.09968e-08,4.536e-08,8.95964e-08,1.25014e-07
1684,3.03697e-07,1.63323e-07,9.9978e-07,6.47e-07
1704,1.1557e-07,1.09691e-07,4.20323e-07,4.48736e-07
1735,7.79748e-09,1.52815e-08,6.23798e-08,1.22252e-07
1759,2.35145e-07,3.04099e-07,2.3427e-07,2.8007e-07
1819,1.97281e-08,2.13958e-08,1.57825e-07,1.71167e-07
1867,1.18293e-08,2.31831e-08,9.46346e-08,1.85465e-07
2013,5.86262e-08,9.63156e-08,0,0
2052,1.18693e-07,1.073e-07,1.34369e-07,1.53115e-07
2076,2.67885e-07,2.28784e-07,7.85403e-07,5.61353e-07
2077,1.56293e-07,3.06304e-07,0,0
2086,3.91102e-08,7.66484e-08,0,0
2088,2.59693e-08,3.66276e-08,8.41534e-08,1.64924e-07
2098,1.65319e-08,2.30167e-08,1.32255e-07,1.84134e-07
2111,1.85413e-07,3.49132e-07,4.43183e-07,7.57943e-07
2124,2.56346e-08,3.66962e-08,2.05076e-07,2.9357e-07
2148,1.95305e-08,3.8276e-08,0,0
2173,1.5082e-07,1.13128e-07,6.15265e-07,4.36777e-07
2184,1.38986e-07,1.45788e-07,2.86587e-07,3.95773e-07
2197,2.94704e-08,4.17405e-08,9.29338e-08,1.82132e-07
2198,2.7051e-07,1.35021e-07,7.71077e-07,4.07451e-07
2226,3.16074e-09,6.19443e-09,2.52859e-08,4.95554e-08
2235,3.65399e-08,3.62478e-08,1.77183e-07,1.82222e-07
2240,6.78785e-08,5.71411e-08,2.96692e-07,2.91033e-07
2247,5.76491e-08,6.62655e-08,2.06397e-07,1.78218e-07
2259,3.74465e-07,3.07524e-07,7.03052e-07,4.8735e-07
2285,3.22717e-08,4.51026e-08,1.46064e-07,2.86257e-07
2292,1.13102e-07,1.1258e-07,2.2782e-08,4.46483e-08
2342,4.37214e-09,8.56854e-09,3.49771e-08,6.85483e-08
2370,1.19445e-07,1.13872e-07,6.36995e-07,7.32319e-07
2390,1.82182e-08,2.54382e-08,1.45745e-07,2.03506e-07
2410,1.44479e-07,2.06338e-07,1.24743e-07,2.44471e-07
2435,5.36964e-07,3.52139e-07,8.54669e-07,5.95088e-07
