cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
10,0,0,37.9844,105.277
19,0,0,74.7315,174.41
21,0,0,117.537,325.764
23,0,0,17.1678,34.7851
24,6.49534,16.585,196.89,463.448
25,0,0,130.545,196.365
30,3.86552,7.81314,111.671,212.859
44,0,0,12.8489,30.926
54,7.30982,20.2598,215.64,597.663
95,0,0,33.6118,74.5695
116,0,0,51.3449,105.794
123,1.08718,3.0132,34.2461,94.9157
139,0.272499,0.676894,31.3374,55.9911
221,0,0,170.146,471.574
225,0.390928,0.584531,41.1777,55.7014
236,0.884802,1.13574,36.8667,43.4448
242,0,0,95.1519,263.721
251,0.361831,0.842404,52.8273,78.6407
254,0.222154,0.356839,39.2103,40.2667
274,2.01995,4.58029,50.4988,114.507
279,0,0,5.45996,14.5548
295,3.5555,9.85436,227.552,630.679
296,0,0,3.71121,8.88682
312,0,0,148.663,412.033
332,2.23669,3.31019,134.201,175.354
352,0,0,67.2511,186.392
365,4.32172,9.01735,117.551,224.798
374,0,0,41.8306,95.9715
391,6.69548,11.2526,150.17,251.537
418,0,0,124.571,345.259
432,0.58868,0.887894,26.6083,34.5333
433,3.46343,7.7099,119.944,232.086
457,0,0,94.8998,263.022
460,0.975921,1.13052,75.1459,60.5112
468,1.02276,2.32427,48.8881,78.134
499,0.841043,1.27469,27.418,35.4823
513,0,0,9.53254,18.4813
527,0.835774,2.22015,21.7301,57.7238
534,0,0,7.98459,17.7587
544,0,0,163.019,401.238
546,0.687788,1.13444,28.4286,34.011
556,0,0,88.0246,243.967
570,0,0,50.8741,126.41
576,3.69527,10.2417,90.3288,250.354
591,0,0,88.4569,245.166
655,0,0,29.21,70.178
699,4.14024,8.21616,87.7731,183.271
717,0.990202,2.04596,47.2822,96.2603
738,0,0,78.8144,218.44
740,0.728616,1.68406,76.5047,127.631
757,0.648611,1.17982,22.0528,37.657
761,0,0,7.05977,15.4813
763,0,0,128.944,357.379
765,0.957838,2.37574,50.2865,124.726
768,0,0,31.0406,86.0315
770,0,0,144.363,400.113
772,0.444662,1.23242,10.6719,29.578
774,0.891516,2.47091,27.1912,75.3627
802,0.390718,0.945235,26.9595,65.2212
814,13.3942,37.123,133.942,371.23
824,5.99339,13.6178,229.747,378.441
831,1.4934,4.13908,68.6965,190.398
873,1.97063,1.6829,112.026,85.4163
936,0,0,148.361,411.194
939,0.34268,0.750028,46.4331,59.8061
956,0.487401,0.593391,29.1744,25.5119
981,1.48681,1.57611,62.9294,61.0234
1035,0,0,127.169,352.458
1047,0,0,156.737,231.775
1056,0,0,142.572,395.149
1082,0,0,51.7808,143.515
1101,1.06629,1.09137,54.7735,46.9938
1146,0,0,89.022,246.732
1153,5.23203,14.501,200.125,554.663
1175,0,0,136.392,378.021
1176,0,0,170.258,471.885
1185,0,0,15.6781,28.0124
1200,1.29892,0.595247,55.6437,20.4581
1235,0.515366,1.0944,42.3888,55.0191
1238,0,0,47.8614,115.007
1288,1.42501,3.42071,68.4003,164.194
1331,0,0,31.5938,53.2348
1336,0.843062,1.14522,37.6216,51.8456
1337,0,0,91.3625,253.219
1372,4.99345,10.699,162.644,311.495
1380,0.483568,0.483157,31.432,25.7519
1392,4.53816,10.4468,176.988,366.967
1411,0.624309,1.16778,45.9907,77.2918
1426,0,0,120.939,241.023
1428,0,0,2.99086,8.16766
1442,0.634546,1.07267,51.3983,77.5446
1444,0,0,11.5089,29.2559
1457,0.812819,1.81112,49.5819,77.7947
1464,0.564878,1.24268,49.9917,70.9405
1477,3.10911,7.49948,108.819,229.901
1505,0,0,8.2192,22.7802
1540,1.67846,2.28643,79.8946,94.1088
1543,3.09658,8.11231,145.539,324.265
1575,0.164062,0.347194,27.5624,32.2314
1604,0,0,8.48429,21.3998
1628,3.96228,10.9818,144.623,400.836
1639,0,0,163.179,329.372
1644,1.25397,1.86935,83.3891,108.271
1656,0,0,87.2014,170.252
1704,1.24042,1.39721,61.7553,66.1184
1711,1.35244,3.00829,163.646,247.085
1734,0.698364,0.881202,40.8543,39.583
1735,0.185177,0.413181,24.6286,38.2533
1915,0.693703,1.92265,21.7823,60.3713
1956,0,0,26.1887,47.1763
1957,0,0,256.03,709.607
1963,0.168697,0.265155,17.7975,17.9904
1998,0,0,72.1436,135.048
2027,0.736373,1.66266,96.4648,157.803
2075,0.514602,1.42626,19.0403,52.7717
2076,0,0,182.324,505.327
2086,0.610655,1.40722,75.7212,127.641
2088,0.854436,0.9523,66.646,75.4253
2116,0,0,10.0919,27.9706
2121,1.8001,2.45096,85.3494,120.865
2204,1.13945,2.02681,25.9224,31.8469
2214,0.458828,0.733778,59.1888,54.8061
2226,1.24451,1.64524,30.3207,35.5302
2227,1.32521,3.0404,26.5042,60.808
2228,1.23598,1.22165,56.9374,40.3264
2233,0,0,57.9722,160.675
2247,0,0,46.1714,127.968
2253,2.17859,5.30762,130.716,318.457
2258,0,0,153.074,424.257
2265,0,0,81.717,172.368
2269,0.169667,0.260049,20.6146,19.4856
2299,1.34409,1.92386,81.0936,111.666
2366,0,0,25.8658,41.8584
2447,0.467864,1.05424,45.3828,66.6163
2449,0,0,37.6258,78.769
2452,0,0,2.77831,6.35403
2456,0,0,109.121,220.205
2469,0,0,10.1793,20.9393
2479,4.03731,10.7161,68.6343,182.174
2488,0,0,64.8201,128.511
2499,0,0,204.453,438.099
2507,6.66318,18.4675,229.88,637.13
2516,0.911145,1.28972,42.5753,45.8716
2519,0,0,17.9029,33.5736
2523,1.25686,2.12558,146.424,201.849
2526,0,0,12.0302,33.3426
2530,0,0,15.2673,29.4723
2543,4.71143,11.421,174.323,352.797
2549,1.29929,3.21802,31.1829,77.2325
2559,0,0,173.735,481.52
2566,0.622403,1.66207,28.6305,67.5912
2578,0,0,43.5167,120.61
2591,0,0,20.0381,50.9413
2593,1.39853,2.27615,133.559,170.616
2597,2.05562,4.66631,139.782,228.076
2599,0,0,117.226,324.902
2600,0,0,40.3121,83.5182
2606,0,0,198.498,550.153
2610,0,0,111.54,309.144
2614,0.568232,1.20657,77.8477,98.3774
2632,0.718318,0.86746,29.1817,28.2205
2658,0.448758,1.01202,26.9255,41.3526
2676,0,0,50.5753,99.5152
2718,0.547393,1.30385,16.6955,30.3718
2722,0,0,37.6814,80.0323
2729,0.646285,1.36769,151.877,179.774
2735,3.82326,7.73965,81.2444,164.695
2749,0,0,228.862,630.723
2753,0,0,33.68,93.3468
2760,0.694141,1.0656,64.0345,76.9033
2771,0,0,253.55,702.733
2789,0,0,63.6191,115.459
2816,3.05571,8.46915,140.563,389.581
2848,1.27153,1.18337,60.6424,45.5492
2858,0.55656,1.31594,11.6878,23.0314
2859,0,0,37.6124,95.6336
2863,0.98625,1.08041,46.9643,45.9405
2881,2.78257,5.29173,113.158,159.273
2885,0.573723,0.803491,63.3008,64.7863
2905,2.49221,2.82157,87.4351,78.68
2907,0.458949,0.652273,38.2894,34.4057
2943,0,0,6.46511,15.1701
2948,0,0,215.438,597.104
2958,0,0,28.8434,35.9636
2961,0.264501,0.443962,12.2552,16.1004
2969,0,0,80.0144,112.025
2970,0.525637,1.16165,80.4224,103.687
2975,1.0847,1.18078,54.3898,45.4473
2991,20.566,57.0003,383.898,1064.01
3021,2.73959,7.593,136.98,379.65
3030,1.318,1.32183,57.9188,54.6033
3035,2.81478,6.78096,101.332,214.374
3058,0.888036,0.43614,45.9053,16.5513
3084,0,0,197.86,548.385
3087,1.02692,2.46597,77.0187,184.948
3113,1.05529,2.34969,103.946,150.883
3124,2.9442,8.16009,158.987,440.645
3143,0,0,12.9137,33.9226
3149,1.10657,2.77649,24.3445,61.0828
3158,0.480223,1.11923,83.0786,143.225
3204,2.38875,6.36195,128.992,335.229
3209,0,0,19.3384,47.1326
3216,1.40551,2.67448,44.742,66.2687
3233,0,0,162.889,325.443
3240,1.4943,2.59793,77.2057,103.249
3251,0.694465,1.11449,57.5017,67.9475
3268,1.01083,1.166,65.5018,67.2459
3289,0.482934,0.699004,64.2302,67.3864
3305,0,0,97.3242,128.858
3314,0.224201,0.352892,54.0324,50.6901
3316,0.388559,0.959958,8.15973,18.0973
3322,6.28821,17.4283,47.1615,130.712
3334,0,0,117.461,325.552
3364,0,0,25.5904,55.661
3365,0.190746,0.422881,53.5996,97.6705
3372,0.728093,0.620431,34.82,25.6895
3419,0,0,16.0475,39.3273
3441,2.79285,7.268,97.7499,232.984
3446,0,0,3.7447,9.90383
3469,0.636253,1.17506,37.9631,55.7061
3500,0,0,268.229,743.418
3528,0.812015,1.77147,122.614,180.677
3532,0,0,159.16,441.126
3535,1.38284,1.05797,68.6635,43.5512
3550,0,0,126.301,350.054
3551,2.07214,5.57833,155.411,409.77
3554,0,0,10.8075,23.6995
3568,2.79079,6.32885,214.891,345.653
3572,0,0,7.77829,17.275
3573,8.81191,19.498,177.497,378.608
3575,2.35808,4.02682,144.432,145.442
3587,3.61627,4.7706,165.947,182.683
3590,0,0,3.67759,7.2165
3594,0,0,25.175,62.4916
3599,0,0,6.35785,14.9608
3604,0,0,29.2837,72.5415
3605,5.03879,9.29368,173.418,310.624
3606,1.77652,2.68739,92.1568,96.0198
3609,1.53071,2.95697,48.9827,70.7377
3611,1.3361,2.9881,78.8302,124.112
3615,1.0334,1.79971,44.7807,62.9298
3617,0,0,22.9593,52.524
3621,0.143201,0.328231,26.9218,39.3784
3624,2.6028,3.36106,111.921,131.578
3629,1.37913,2.02683,40.5252,60.5138
3632,1.33114,1.99331,65.6353,83.7746
3633,0,0,21.8779,48.4159
3635,0,0,8.00955,21.0629
3636,0.85951,0.961691,48.7342,49.1632
3639,0,0,439.712,1218.7
3640,1.34084,3.1253,73.7463,141.769
3644,1.91017,2.98572,70.3579,80.1392
3660,0.844218,2.33982,82.7333,229.302
3661,1.27254,2.8469,108.166,173.314
