cellID,SSB,statisticalError,DSB,statisticalError
15,9.2e-06,1.80302e-05,2e-07,3.91961e-07
17,3e-06,5.87941e-06,0,0
18,6e-06,8.60456e-06,0,0
22,1.38e-05,2.19662e-05,0,0
24,3.1e-05,3.71433e-05,4e-07,5.54261e-07
27,5.2e-06,1.0191e-05,0,0
29,1.64e-05,2.50471e-05,2e-07,3.91961e-07
30,0.0001152,0.00017594,3.2e-06,5.89238e-06
101,1.2e-05,1.66647e-05,2e-07,3.91961e-07
123,0.0004318,0.000241863,9e-06,5.82216e-06
132,5.8e-06,1.02584e-05,2e-07,3.91961e-07
139,1.56e-05,2.16446e-05,2e-07,3.91961e-07
216,2.4e-06,4.70353e-06,0,0
217,0.0001448,8.10987e-05,1.2e-06,1.23917e-06
225,0.0003514,0.000124011,5.2e-06,2.82308e-06
312,1.4e-06,2.74373e-06,0,0
338,2.98e-05,4.01462e-05,6e-07,1.17588e-06
350,8.2e-06,1.60704e-05,0,0
352,8.8e-06,1.72463e-05,0,0
362,7.2e-06,9.32384e-06,0,0
365,3.4e-06,6.66333e-06,0,0
372,8.6e-06,1.68543e-05,0,0
382,1.44e-05,2.82212e-05,1.2e-06,2.35176e-06
391,7.2e-06,1.41106e-05,0,0
431,8.4e-06,1.64624e-05,2e-07,3.91961e-07
454,0.0002608,0.000219472,7.4e-06,5.95435e-06
461,0.0001088,6.15612e-05,8e-07,9.59944e-07
514,9.2e-06,1.80302e-05,2e-07,3.91961e-07
541,7.24e-05,6.09353e-05,3.6e-06,4.03465e-06
544,7.12e-05,4.87637e-05,1.2e-06,1.35752e-06
546,1.96e-05,2.46183e-05,4e-07,5.54261e-07
556,3e-06,5.87941e-06,0,0
610,8.2e-06,1.60704e-05,4e-07,7.83922e-07
625,7.5e-05,4.90907e-05,1e-06,1.61602e-06
655,1.26e-05,2.46935e-05,0,0
658,9.7e-05,7.03069e-05,3.4e-06,3.20727e-06
748,5.74e-05,4.77445e-05,1.2e-06,1.66278e-06
765,4e-06,7.83922e-06,0,0
767,3.06e-05,3.6222e-05,0,0
778,8.3e-05,7.08865e-05,2e-06,2.47861e-06
790,3.14e-05,3.90076e-05,1.6e-06,2.41604e-06
816,1.02e-05,1.43521e-05,0,0
823,0.0001178,6.08214e-05,2.4e-06,2.9327e-06
824,0.0001282,7.90858e-05,3.6e-06,3.23097e-06
830,0.001296,0.00035572,2.48e-05,1.0214e-05
831,3.64e-05,7.13369e-05,2e-07,3.91961e-07
851,1.46e-05,2.86131e-05,8e-07,1.56784e-06
884,9.4e-06,1.84222e-05,2e-07,3.91961e-07
886,4.6e-06,9.0151e-06,2e-07,3.91961e-07
922,0.0001608,0.000105228,4e-06,3.46027e-06
938,1.22e-05,1.48146e-05,2e-07,3.91961e-07
940,4e-07,7.83922e-07,0,0
1056,8.86e-05,0.000130883,1.8e-06,3.16001e-06
1059,2.78e-05,2.2543e-05,4e-07,5.54261e-07
1111,1.8e-06,3.52765e-06,0,0
1113,2.04e-05,2.15561e-05,4e-07,5.54261e-07
1165,3.5e-05,6.0919e-05,2e-07,3.91961e-07
1185,4.2e-06,8.23118e-06,0,0
1198,5e-05,5.16481e-05,1.6e-06,2.7715e-06
1216,2.02e-05,2.82973e-05,2e-07,3.91961e-07
