cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
15,1.14669,3.17815,52.7478,146.195
17,0,0,289.161,801.434
18,0,0,113.16,225.674
22,0,0,197.935,438.318
24,1.80425,3.06668,139.83,216.828
27,0,0,156.555,433.905
29,2.1765,5.43557,178.473,388.098
30,2.5706,5.6212,92.5415,178.575
101,2.33013,5.62646,139.808,276.745
123,0.982088,0.809295,47.1184,35.7082
132,0.703879,1.61669,20.4125,43.6026
139,1.93836,4.66933,151.192,298.085
216,0,0,121.348,336.326
217,0.397603,0.471055,47.9774,38.7086
225,0.621268,0.402299,41.9834,20.9545
312,0,0,105.272,291.77
338,2.38665,5.50374,118.537,215.071
350,0,0,93.1251,250.271
352,0,0,211.601,586.47
362,0,0,9.03801,20.0329
365,0,0,142.193,394.099
372,0,0,68.6404,190.243
382,20.0729,55.6337,240.875,667.604
391,0,0,181.937,504.252
431,2.55796,7.08958,107.434,297.762
454,2.85761,2.91561,100.712,105.71
461,0.225684,0.294631,30.693,23.4688
514,2.88548,7.99735,132.732,367.878
541,2.66054,3.48191,53.5064,57.7541
544,0.622994,0.834716,36.9643,36.6765
546,0.75959,1.32469,37.2199,61.1472
556,0,0,27.5286,66.3834
610,8.23493,22.8238,168.816,467.888
625,0.375388,0.687562,28.1541,30.475
655,0,0,220.763,611.863
658,2.53045,3.71201,72.1922,96.5168
748,1.22661,1.95103,58.6728,66.9434
765,0,0,182.347,505.39
767,0,0,36.4061,56.2715
778,1.32948,1.80713,55.1735,56.2975
790,2.78146,4.97523,54.5861,85.6597
816,0,0,111.462,221.862
823,0.473377,0.677552,23.2349,21.0665
824,1.00354,1.07469,35.7373,30.3635
830,0.99289,0.463746,51.8865,18.261
831,0.395728,1.09679,72.0226,199.616
851,1.32134,3.18849,24.1145,58.19
884,0.530442,1.17657,24.9308,55.2986
886,1.01467,2.50861,23.3374,57.698
922,1.99889,2.36471,80.3552,83.4849
938,0.332448,0.70893,20.2794,29.9494
940,0,0,0.594085,1.64655
1056,0.778462,1.58027,38.3176,68.77
1059,0.401405,0.691141,27.8976,36.397
1111,0,0,14.4858,36.3241
1113,3.51178,6.14386,179.101,269.085
1165,0.213555,0.53375,37.3722,87.1295
1185,0,0,112.462,311.697
1198,2.28764,4.50061,71.4888,99.4962
1216,0.155994,0.351498,15.7554,28.179
1235,1.87408,2.69742,95.8902,103.291
1376,3.91929,10.8626,94.063,260.703
1399,1.23749,2.63629,29.8765,37.4693
1406,5.63684,15.623,157.831,437.443
1411,0.301919,0.66047,21.5872,29.5427
1448,0,0,10.2231,18.0172
1450,0.890021,1.25614,40.7185,44.6832
1464,1.99576,4.03426,86.8157,131.622
1477,0,0,26.8157,74.322
1492,0.772021,2.02064,12.3523,32.3302
1505,5.61783,15.5703,112.825,312.703
1528,0,0,161.644,448.009
1537,0,0,127.103,352.276
1559,1.16771,2.08483,47.0587,78.6494
1576,0,0,17.2743,31.6851
1614,2.78664,6.69687,200.638,395.125
1628,0,0,15.6932,39.8607
