cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
15,2.90691e-08,5.69698e-08,7.30179e-08,1.43101e-07
17,1.72914e-09,3.38877e-09,1.38331e-08,2.71102e-08
18,8.83702e-09,1.22467e-08,7.06962e-08,9.79738e-08
22,1.162e-08,1.78892e-08,9.29598e-08,1.43113e-07
24,3.69497e-08,3.63711e-08,2.122e-07,2.29133e-07
27,5.53586e-09,1.08492e-08,4.42869e-08,8.67936e-08
29,1.53151e-08,2.3707e-08,1.22521e-07,1.89656e-07
30,2.07475e-07,2.44709e-07,9.40635e-07,1.35436e-06
95,1.96036e-08,3.84192e-08,0,0
101,1.43053e-08,2.01787e-08,1.14443e-07,1.61429e-07
123,1.52736e-06,7.7967e-07,3.65112e-06,2.13754e-06
132,4.73566e-08,5.67207e-08,6.51812e-08,1.25832e-07
139,1.71967e-08,2.40876e-08,1.37573e-07,1.92701e-07
216,3.2963e-09,6.4601e-09,2.63704e-08,5.16808e-08
217,5.03015e-07,2.92121e-07,1.13574e-06,5.8739e-07
225,1.395e-06,4.92365e-07,2.96659e-06,1.07534e-06
312,2.21648e-09,4.34387e-09,1.77319e-08,3.4751e-08
314,3.49269e-08,4.98409e-08,0,0
338,4.18998e-08,5.09226e-08,2.38857e-07,3.04345e-07
350,1.46756e-08,2.69874e-08,1.17405e-07,2.159e-07
352,6.93128e-09,1.35839e-08,5.54502e-08,1.08672e-07
362,1.32773e-07,2.38843e-07,8.88165e-08,1.10068e-07
365,3.9852e-09,7.81021e-09,3.18816e-08,6.24817e-08
372,2.08818e-08,4.09242e-08,4.14932e-08,8.13186e-08
382,9.96369e-09,1.95269e-08,7.97095e-08,1.56215e-07
389,5.15899e-08,1.01106e-07,0,0
391,6.5957e-09,1.29263e-08,5.27656e-08,1.0341e-07
407,4.10115e-08,8.03746e-08,0,0
417,2.15151e-08,4.21653e-08,0,0
431,1.30312e-08,2.55387e-08,1.0425e-07,2.04309e-07
454,4.31596e-07,2.70755e-07,2.08358e-06,1.63115e-06
461,5.90796e-07,3.03847e-07,1.05669e-06,5.72977e-07
502,9.33667e-08,1.5923e-07,0,0
514,1.15521e-08,2.26398e-08,9.24167e-08,1.81119e-07
541,2.25518e-07,1.52405e-07,6.80331e-07,5.33784e-07
544,3.2103e-07,2.30477e-07,6.9323e-07,4.66038e-07
546,8.77666e-08,9.29398e-08,1.95619e-07,2.45579e-07
556,1.81629e-08,2.552e-08,6.0453e-08,1.18476e-07
588,1.34336e-08,2.63272e-08,0,0
609,1.79764e-08,3.52302e-08,0,0
610,8.09559e-09,1.58658e-08,6.47647e-08,1.26926e-07
625,4.43985e-07,3.82766e-07,5.44261e-07,3.35215e-07
655,9.51246e-09,1.86426e-08,7.60997e-08,1.4914e-07
658,2.23939e-07,2.51577e-07,7.37674e-07,5.04058e-07
748,1.63051e-07,1.2734e-07,5.56158e-07,5.01061e-07
765,3.65603e-09,7.1651e-09,2.92482e-08,5.73208e-08
767,1.40086e-07,1.39233e-07,2.62024e-07,2.89679e-07
778,2.50724e-07,1.39991e-07,5.90893e-07,4.82836e-07
790,9.5873e-08,9.1924e-08,2.71479e-07,3.10324e-07
800,4.7199e-08,7.00849e-08,0,0
814,1.28613e-07,2.52056e-07,0,0
816,1.52518e-08,2.14725e-08,1.22014e-07,1.7178e-07
823,8.44992e-07,6.29776e-07,1.01353e-06,5.4314e-07
824,5.97881e-07,3.49295e-07,1.44926e-06,9.48382e-07
830,4.16293e-06,9.1704e-07,1.18489e-05,3.30112e-06
831,8.42329e-08,1.6508e-07,2.89501e-07,5.67364e-07
851,1.00907e-07,1.42064e-07,1.05595e-07,2.06946e-07
884,6.28407e-08,6.5278e-08,9.67553e-08,1.89621e-07
886,3.28514e-08,4.95133e-08,7.51853e-08,1.47348e-07
922,3.33519e-07,2.69135e-07,1.28388e-06,8.27179e-07
938,1.00266e-07,8.42779e-08,1.66307e-07,2.02041e-07
940,1.12217e-07,2.19924e-07,2.18046e-09,4.27328e-09
956,2.1761e-08,4.26473e-08,0,0
964,4.40711e-08,8.63708e-08,0,0
1056,3.85375e-07,3.92789e-07,6.26582e-07,9.56533e-07
1059,1.66083e-07,1.69745e-07,2.59707e-07,2.08419e-07
1111,2.071e-08,3.23969e-08,3.94463e-08,7.73069e-08
1113,1.89837e-08,2.02755e-08,1.5187e-07,1.62204e-07
1165,1.56088e-07,2.42109e-07,3.03523e-07,5.31689e-07
1185,6.22433e-09,1.21985e-08,4.97946e-08,9.75877e-08
1198,1.16568e-07,1.08729e-07,4.36455e-07,3.75531e-07
1216,2.13684e-07,2.37609e-07,9.89685e-08,1.37269e-07
1235,1.06719e-07,8.11691e-08,5.32295e-07,4.17804e-07
1306,7.74717e-08,1.51829e-07,0,0
1376,5.10297e-08,1.00008e-07,4.08237e-07,8.00065e-07
1399,1.88554e-07,1.57486e-07,3.03218e-07,2.4363e-07
1406,5.91348e-09,1.15893e-08,4.73079e-08,9.27141e-08
1411,2.2081e-07,2.14614e-07,2.76549e-07,2.62233e-07
1448,1.95636e-07,2.13058e-07,1.29262e-07,1.80043e-07
1450,4.49428e-07,2.99933e-07,9.7821e-07,8.46389e-07
1464,1.33616e-07,1.39219e-07,4.92088e-07,4.78919e-07
1477,1.74027e-08,3.41059e-08,2.25567e-08,4.42068e-08
1492,1.72707e-07,2.99616e-07,1.51726e-07,2.97354e-07
1505,7.12018e-08,1.39542e-07,5.69614e-07,1.11633e-06
1528,3.29944e-09,6.46625e-09,2.63955e-08,5.173e-08
1537,7.60539e-09,1.49051e-08,6.08431e-08,1.19241e-07
1559,2.85459e-07,3.83563e-07,8.82117e-07,1.06253e-06
1576,3.7821e-07,5.68546e-07,5.03966e-07,5.85692e-07
1614,1.19618e-08,1.66374e-08,9.56945e-08,1.331e-07
1628,1.69925e-08,2.74562e-08,2.72104e-08,5.33271e-08
1644,6.11581e-09,1.19858e-08,4.89265e-08,9.58863e-08
1652,2.55209e-07,2.71764e-07,2.63831e-07,5.17057e-07
1656,1.08753e-07,1.74081e-07,5.13029e-08,1.00544e-07
1667,4.33481e-08,8.49537e-08,0,0
1671,1.56836e-08,2.25429e-08,1.25468e-07,1.80343e-07
1690,4.90932e-08,8.45557e-08,1.64264e-07,2.43003e-07
1704,8.01678e-07,5.71932e-07,1.2873e-06,1.07511e-06
1734,2.16118e-07,1.49523e-07,7.34382e-07,6.23971e-07
1735,7.07466e-09,1.3865e-08,5.65973e-08,1.1092e-07
1744,2.61508e-08,3.94733e-08,5.94179e-08,1.16447e-07
1745,9.52838e-09,1.86738e-08,0,0
1759,9.06196e-09,1.77597e-08,7.24956e-08,1.42077e-07
1771,5.84554e-08,7.64765e-08,8.71737e-08,1.21514e-07
1808,2.48287e-07,1.3831e-07,1.24387e-06,6.57548e-07
1817,6.22054e-07,5.49062e-07,1.45685e-06,9.01369e-07
1819,6.05982e-09,1.18761e-08,4.84785e-08,9.50085e-08
1832,2.55923e-08,5.01559e-08,2.45497e-08,4.81126e-08
1838,2.05665e-07,2.10631e-07,2.02443e-07,2.36607e-07
1865,2.05791e-09,4.03311e-09,1.64633e-08,3.22648e-08
1895,9.19141e-08,9.33682e-08,1.12701e-07,1.37975e-07
1912,5.9271e-07,3.85645e-07,2.44199e-06,2.23882e-06
1915,1.62439e-07,2.78264e-07,8.77142e-07,1.65939e-06
1919,3.61061e-08,7.07608e-08,0,0
1947,2.59697e-08,3.15022e-08,2.07758e-07,2.52018e-07
1957,2.02398e-07,1.36036e-07,6.54244e-07,6.17234e-07
1961,1.87696e-07,2.04783e-07,5.09077e-07,5.74176e-07
1991,1.18964e-08,2.33146e-08,9.51711e-08,1.86517e-07
1998,3.91568e-09,7.67396e-09,3.13254e-08,6.13917e-08
2013,8.06446e-08,1.53224e-07,2.38341e-07,4.29681e-07
2051,5.79168e-07,3.2086e-07,1.18381e-06,8.00786e-07
2054,7.13954e-08,1.13136e-07,8.34311e-08,1.63509e-07
2098,1.92097e-07,3.0429e-07,1.59944e-07,2.42242e-07
2104,3.09757e-08,6.07063e-08,2.47805e-07,4.8565e-07
2108,5.04642e-09,9.88999e-09,4.03713e-08,7.91199e-08
2113,6.84961e-08,1.34239e-07,5.47969e-07,1.07391e-06
2117,7.73821e-09,1.51654e-08,6.19057e-08,1.21323e-07
2128,9.41353e-07,5.34313e-07,1.69704e-06,1.23842e-06
2142,2.29356e-08,2.64341e-08,1.08606e-07,1.52311e-07
2164,3.82553e-08,5.12036e-08,2.2883e-07,3.8069e-07
2173,2.9451e-07,5.77182e-07,0,0
2197,2.1427e-07,1.28878e-07,6.88665e-07,6.43026e-07
2198,1.0955e-08,2.14697e-08,8.76403e-08,1.71758e-07
2264,6.477e-08,6.08853e-08,3.47106e-07,3.69231e-07
2269,5.70571e-08,6.66724e-08,1.03361e-07,1.61078e-07
2274,2.38472e-08,4.67358e-08,0,0
2296,1.7441e-07,9.94223e-08,5.90904e-07,3.89765e-07
2354,1.70125e-07,3.33413e-07,0,0
2395,9.14774e-09,1.79278e-08,7.31819e-08,1.43422e-07
2410,3.57363e-09,7.00361e-09,2.78605e-08,5.46012e-08
2422,6.86421e-09,1.34525e-08,0,0
2442,1.34803e-07,2.1163e-07,3.98241e-07,7.80475e-07
2456,3.39761e-08,6.65865e-08,0,0
2492,4.40466e-07,3.09359e-07,7.57352e-07,5.79827e-07
2507,1.39709e-08,2.08512e-08,3.3526e-08,6.57043e-08
2518,6.76575e-08,1.32595e-07,0,0
2530,8.48112e-08,7.55311e-08,2.02005e-07,2.74673e-07
2557,1.49771e-07,1.01869e-07,2.70283e-07,2.05336e-07
2558,1.05152e-08,2.06077e-08,0,0
2579,3.96403e-07,2.55177e-07,1.79345e-06,1.12971e-06
2593,8.88083e-08,1.74047e-07,0,0
2600,1.44578e-07,2.27507e-07,3.26018e-07,3.09133e-07
2607,1.05068e-08,2.05913e-08,8.40545e-08,1.6473e-07
2618,6.87517e-08,1.3474e-07,0,0
2629,2.06057e-07,2.0415e-07,3.94177e-07,3.89659e-07
2657,3.24455e-07,2.58136e-07,7.76374e-07,4.55645e-07
2676,3.3754e-09,6.61512e-09,0,0
2696,1.90302e-08,3.72954e-08,0,0
