cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
11,2.34146e-08,4.5888e-08,0,0
23,3.60014e-09,7.05556e-09,2.88011e-08,5.64445e-08
28,6.4974e-08,9.70859e-08,2.67643e-07,3.75493e-07
33,2.40787e-08,4.71895e-08,0,0
36,5.711e-08,6.2236e-08,4.5688e-07,4.97888e-07
37,1.99332e-07,2.0771e-07,3.26215e-07,3.33902e-07
44,1.72221e-07,1.36161e-07,4.1169e-07,3.25298e-07
45,4.47152e-08,5.28793e-08,3.57721e-07,4.23035e-07
48,7.43049e-08,7.06563e-08,2.01542e-07,2.51858e-07
52,1.83941e-08,2.11039e-08,8.87336e-08,1.24112e-07
56,1.47066e-07,1.00505e-07,3.16589e-07,2.69176e-07
60,1.74291e-07,2.33931e-07,4.01752e-07,5.93309e-07
61,3.77919e-08,5.71486e-08,1.52934e-07,1.84571e-07
70,1.91406e-07,2.88381e-07,5.30466e-07,1.03961e-06
74,3.77755e-09,6.74879e-09,3.02204e-08,5.39904e-08
78,1.09814e-07,1.18421e-07,5.68712e-08,8.33223e-08
84,9.79555e-08,1.1403e-07,3.96428e-07,7.09517e-07
92,6.23964e-09,1.22285e-08,0,0
94,3.62522e-08,6.77253e-08,2.8666e-07,5.41764e-07
96,2.76983e-07,3.70025e-07,6.14074e-07,1.11492e-06
98,1.47326e-07,1.63916e-07,4.1787e-07,3.70738e-07
102,1.10758e-09,2.17064e-09,8.86064e-09,1.73651e-08
103,5.49231e-08,7.30606e-08,3.48252e-07,5.56572e-07
105,6.98301e-08,5.92649e-08,2.34149e-07,2.45202e-07
114,3.24509e-09,6.35974e-09,2.59607e-08,5.08779e-08
115,7.17588e-08,8.7189e-08,5.74071e-07,6.97512e-07
118,3.99536e-09,7.83012e-09,3.19629e-08,6.2641e-08
120,3.12643e-07,2.66938e-07,1.72597e-06,1.60051e-06
127,6.6191e-08,1.13234e-07,7.05289e-08,1.0711e-07
129,5.90072e-07,4.99811e-07,1.43132e-06,9.67013e-07
137,5.33658e-08,9.95167e-08,2.12465e-08,4.1639e-08
147,1.99417e-08,2.282e-08,1.59534e-07,1.8256e-07
149,1.49817e-07,2.60569e-07,1.19854e-06,2.08455e-06
150,1.54598e-08,3.02981e-08,0,0
152,2.14631e-08,3.64046e-08,2.52565e-08,4.94977e-08
153,8.68002e-09,1.70111e-08,6.94402e-08,1.36089e-07
154,6.1105e-09,1.19754e-08,4.8217e-08,9.44958e-08
157,2.48311e-08,4.05321e-08,3.74911e-08,7.34752e-08
158,6.60172e-09,1.29381e-08,5.28138e-08,1.03505e-07
159,1.02066e-07,2.00029e-07,2.26193e-07,4.43293e-07
160,1.57672e-08,2.24092e-08,1.26137e-07,1.79274e-07
173,3.41623e-08,6.05663e-08,9.65483e-08,1.45534e-07
175,5.4577e-08,6.90359e-08,1.76883e-07,2.16881e-07
176,2.91265e-08,5.70822e-08,0,0
177,2.3607e-08,2.82345e-08,9.58121e-08,1.33354e-07
179,5.22097e-08,7.76906e-08,6.79186e-08,7.96965e-08
182,1.25195e-08,1.74297e-08,1.00156e-07,1.39437e-07
185,2.90178e-08,3.8031e-08,2.32142e-07,3.04248e-07
188,3.08623e-07,4.19299e-07,1.1256e-07,2.20596e-07
190,5.87538e-08,5.72894e-08,3.54737e-07,3.66704e-07
194,4.68316e-08,6.21545e-08,1.46832e-07,2.1897e-07
198,1.73141e-07,1.98775e-07,3.29457e-07,3.23814e-07
200,4.1109e-07,3.41107e-07,1.10363e-06,1.26843e-06
201,1.92684e-09,3.77623e-09,1.54147e-08,3.02099e-08
205,1.02515e-07,9.43379e-08,3.24346e-07,3.33053e-07
208,2.79291e-08,5.47355e-08,1.91563e-07,3.75426e-07
211,4.23241e-08,5.89446e-08,1.11459e-07,1.55749e-07
214,5.11001e-08,8.9812e-08,5.16747e-08,8.77079e-08
216,4.88095e-07,4.80164e-07,9.95038e-07,9.1201e-07
224,3.93262e-08,5.15174e-08,1.07412e-07,2.10506e-07
225,1.43429e-08,2.64688e-08,1.70549e-08,2.40503e-08
227,1.84376e-07,2.61564e-07,2.38344e-07,2.47327e-07
232,1.83329e-07,1.08475e-07,5.30438e-07,3.15716e-07
233,8.6013e-08,8.4086e-08,3.0937e-07,4.11222e-07
234,6.51039e-08,1.27591e-07,4.20684e-07,8.24458e-07
239,6.10183e-08,7.84089e-08,3.70469e-07,4.08536e-07
242,1.21367e-07,1.1655e-07,2.50039e-07,2.55204e-07
245,1.81809e-08,3.56309e-08,1.45447e-07,2.85047e-07
246,3.46471e-07,2.21252e-07,8.89628e-07,7.43195e-07
249,1.53819e-07,2.25111e-07,1.20678e-07,1.37743e-07
254,1.02107e-07,8.45774e-08,3.42122e-07,2.58604e-07
256,3.12808e-07,2.86658e-07,9.10776e-07,6.4808e-07
257,8.79203e-08,9.35195e-08,2.92006e-07,4.39053e-07
260,5.48346e-08,6.2794e-08,2.88261e-07,4.06848e-07
264,1.85088e-08,3.04748e-08,2.65267e-08,5.19872e-08
270,9.25054e-08,1.12408e-07,1.77109e-07,2.01621e-07
272,4.77041e-08,6.82715e-08,2.40103e-07,4.70555e-07
279,1.18901e-08,1.47398e-08,9.5121e-08,1.17918e-07
281,8.038e-08,1.16794e-07,6.4304e-07,9.34349e-07
287,2.84687e-07,2.55622e-07,7.06536e-07,5.27609e-07
288,9.86548e-09,1.37726e-08,7.89238e-08,1.10181e-07
291,1.31884e-08,2.26083e-08,1.05508e-07,1.80867e-07
292,1.03434e-07,1.14468e-07,1.32062e-07,1.91302e-07
293,1.24287e-08,2.43578e-08,9.94295e-08,1.94862e-07
297,1.21666e-07,9.72157e-08,4.36786e-07,4.07012e-07
300,9.83609e-08,1.299e-07,3.03924e-08,5.95631e-08
302,9.03932e-08,1.25568e-07,6.47541e-07,9.72041e-07
303,3.57353e-07,2.64749e-07,8.03124e-07,6.94413e-07
306,1.14134e-07,1.43736e-07,1.28967e-07,1.78762e-07
307,2.26652e-08,3.23547e-08,5.51788e-08,7.67603e-08
312,4.82764e-08,9.46123e-08,0,0
314,9.647e-08,9.67507e-08,7.7176e-07,7.74006e-07
316,1.14869e-07,2.25121e-07,0,0
318,6.23497e-08,7.81354e-08,1.21034e-07,1.45859e-07
326,7.4479e-08,7.24486e-08,2.16655e-07,3.68907e-07
328,3.11674e-08,4.05855e-08,9.92985e-08,1.37757e-07
339,2.29451e-07,2.04132e-07,3.56238e-07,3.32601e-07
343,6.90425e-09,1.3531e-08,5.5234e-08,1.08248e-07
345,2.00104e-08,3.30635e-08,1.60083e-07,2.64508e-07
346,2.64905e-07,3.88034e-07,1.28058e-06,1.74028e-06
