cellID,SSB,statisticalError,DSB,statisticalError
12,6.8e-05,0.000127466,4e-06,7.83608e-06
22,0.000144,0.000282099,2e-06,3.91804e-06
51,2.2e-05,4.30984e-05,0,0
95,1.7e-05,3.33033e-05,0,0
305,4.7e-05,6.22525e-05,0,0
332,2.5e-05,4.89755e-05,1e-06,1.95902e-06
338,1.2e-05,2.35082e-05,0,0
374,9.8e-05,0.000191984,3e-06,5.87706e-06
420,6.7e-05,0.000125509,0,0
431,1.8e-05,3.52624e-05,0,0
527,6.2e-05,9.79246e-05,0,0
576,1.1e-05,2.15492e-05,0,0
654,4.3e-05,8.42378e-05,0,0
696,9.2e-05,0.00018023,1e-06,1.95902e-06
767,1e-06,1.95902e-06,0,0
773,2e-05,3.91804e-05,0,0
790,8.2e-05,0.00016064,0,0
800,3.2e-05,6.26886e-05,1e-06,1.95902e-06
814,2.2e-05,4.30984e-05,0,0
918,5.3e-05,7.34985e-05,2e-06,2.76909e-06
950,0.00017,0.000333033,6e-06,1.17541e-05
1064,7.6e-05,0.000127539,0,0
1101,3.2e-05,6.26886e-05,1e-06,1.95902e-06
1145,2.2e-05,4.30984e-05,0,0
1182,1e-05,1.95902e-05,0,0
1201,4e-05,7.83608e-05,5e-06,9.7951e-06
1252,6.8e-05,0.000133213,6e-06,1.17541e-05
1267,4.4e-05,8.61969e-05,0,0
1276,5e-06,9.7951e-06,0,0
1281,8.2e-05,0.00016064,2e-06,3.91804e-06
1408,3e-05,5.87706e-05,0,0
1442,1.1e-05,2.15492e-05,0,0
1451,7.2e-05,0.000141049,1e-06,1.95902e-06
1571,2.4e-05,4.70165e-05,0,0
1671,3e-05,5.87706e-05,0,0
1679,6e-06,1.17541e-05,0,0
1715,8.7e-05,0.000170435,3e-06,5.87706e-06
1745,7.3e-05,0.000143008,4e-06,7.83608e-06
1774,3e-05,5.87706e-05,0,0
1786,0.000106,0.000207656,3e-06,5.87706e-06
1810,2.9e-05,5.68116e-05,0,0
1813,1.5e-05,2.93853e-05,0,0
1832,4e-05,7.83608e-05,0,0
1837,4.2e-05,7.66216e-05,3e-06,5.87706e-06
1973,4.7e-05,8.11637e-05,3e-06,5.87706e-06
1991,1.3e-05,2.54673e-05,0,0
2061,1e-05,1.95902e-05,0,0
2064,1.6e-05,3.13443e-05,0,0
2112,0.000288,0.000370222,1e-05,1.4914e-05
2133,0.000124,0.000242918,2e-06,3.91804e-06
2134,9.2e-05,0.00018023,2e-06,3.91804e-06
2183,6.2e-05,0.000121459,0,0
2326,1.2e-05,2.35082e-05,0,0
2431,7.9e-05,0.000110088,1e-06,1.95902e-06
2435,1.5e-05,2.93853e-05,0,0
2468,5.2e-05,0.000101869,1e-06,1.95902e-06
2537,6.2e-05,0.000121459,0,0
2597,1.1e-05,2.15492e-05,0,0
2641,1e-05,1.95902e-05,0,0
2731,6e-06,1.17541e-05,0,0
2737,6e-06,1.17541e-05,0,0
2772,1.7e-05,3.33033e-05,0,0
2787,2.2e-05,4.30984e-05,0,0
2853,7e-06,1.37131e-05,0,0
2938,4.9e-05,7.61782e-05,0,0
2980,9e-06,1.76312e-05,0,0
3023,7.3e-05,0.000143008,1e-06,1.95902e-06
3035,1.9e-05,3.72214e-05,0,0
3075,2.6e-05,5.09345e-05,1e-06,1.95902e-06
3130,1.6e-05,3.13443e-05,0,0
3140,1.3e-05,2.54673e-05,0,0
3176,1.4e-05,2.74263e-05,0,0
3288,3.8e-05,7.44428e-05,1e-06,1.95902e-06
3350,0.00012,0.000185793,1e-06,1.95902e-06
3353,8.9e-05,0.000174353,5e-06,9.7951e-06
3362,0.000227,0.000444697,9e-06,1.76312e-05
3363,6.7e-05,0.000108785,0,0
3396,1.8e-05,3.52624e-05,0,0
3476,1.1e-05,1.67324e-05,0,0
3560,2.2e-05,4.30984e-05,0,0
3576,7e-05,0.000137131,0,0
3597,9e-06,1.76312e-05,0,0
3606,2.9e-05,5.68116e-05,0,0
3624,4.2e-05,8.22788e-05,0,0
3625,4.8e-05,6.85074e-05,0,0
3661,2.8e-05,5.48526e-05,0,0
3676,1.1e-05,2.15492e-05,0,0
3678,3.1e-05,6.07296e-05,0,0
3758,1.4e-05,2.74263e-05,0,0
3769,2.1e-05,4.11394e-05,1e-06,1.95902e-06
3786,2.5e-05,4.89755e-05,1e-06,1.95902e-06
3801,2.5e-05,4.34915e-05,0,0
3832,1.7e-05,3.33033e-05,0,0
3837,2.1e-05,4.11394e-05,0,0
3853,1e-05,1.95902e-05,0,0
3928,1.5e-05,2.93853e-05,0,0
3933,0.000107,0.000209615,4e-06,7.83608e-06
3979,4.4e-05,6.58299e-05,0,0
3993,1.9e-05,3.72214e-05,1e-06,1.95902e-06
3997,2e-05,3.91804e-05,0,0
4002,4.2e-05,6.3276e-05,0,0
4066,4.2e-05,8.22788e-05,1e-06,1.95902e-06
4119,8.2e-05,0.00016064,2e-06,3.91804e-06
4143,3.5e-05,6.85657e-05,1e-06,1.95902e-06
4150,2e-05,3.91804e-05,0,0
4167,4.8e-05,9.40329e-05,2e-06,3.91804e-06
4172,1.9e-05,3.72214e-05,0,0
4202,6.3e-05,0.000123418,0,0
4205,0.000117,0.000229205,1e-06,1.95902e-06
4219,6e-06,1.17541e-05,0,0
4227,1.1e-05,2.15492e-05,0,0
4238,1.1e-05,2.15492e-05,0,0
4242,3.7e-05,7.24837e-05,0,0
4260,0.000104,0.000155313,6e-06,8.75749e-06
4269,2.3e-05,4.50575e-05,0,0
4313,0.000506,0.000765163,1.4e-05,2.55405e-05
4314,2.8e-05,5.48526e-05,0,0
4318,2.2e-05,4.30984e-05,1e-06,1.95902e-06
4331,5.5e-05,0.000107746,0,0
4354,7.5e-05,0.000109469,1e-06,1.95902e-06
4358,7e-06,1.37131e-05,0,0
4385,3.3e-05,6.46477e-05,0,0
4388,2.4e-05,4.70165e-05,0,0
4392,5.9e-05,8.6718e-05,0,0
4393,2.1e-05,4.11394e-05,0,0
4395,1.5e-05,2.93853e-05,0,0
4413,7.3e-05,0.000143008,2e-06,3.91804e-06
4415,1.3e-05,2.54673e-05,0,0
4418,5.9e-05,0.000115582,1e-06,1.95902e-06
4431,2.5e-05,4.89755e-05,0,0
4436,1.8e-05,3.52624e-05,1e-06,1.95902e-06
4443,7e-06,1.37131e-05,0,0
4444,3.4e-05,6.66067e-05,1e-06,1.95902e-06
4458,3.9e-05,6.41576e-05,1e-06,1.95902e-06
4467,7e-06,1.37131e-05,0,0
4472,3.8e-05,7.44428e-05,1e-06,1.95902e-06
4473,3.1e-05,6.07296e-05,1e-06,1.95902e-06
4474,2.7e-05,5.28935e-05,0,0
4481,2.3e-05,4.50575e-05,1e-06,1.95902e-06
4496,6.2e-05,0.000121459,0,0
4497,6e-05,0.000117541,0,0
4503,2.8e-05,5.48526e-05,0,0
4508,9e-06,1.76312e-05,0,0
4512,5e-06,9.7951e-06,0,0
4555,2.8e-05,5.48526e-05,0,0
4561,3e-05,4.16287e-05,0,0
4562,4.7e-05,6.50883e-05,0,0
4579,1.4e-05,2.74263e-05,1e-06,1.95902e-06
4585,1.4e-05,2.74263e-05,1e-06,1.95902e-06
4591,0.000126,0.000153082,2e-06,3.91804e-06
4596,2.1e-05,4.11394e-05,2e-06,3.91804e-06
4609,2e-05,3.91804e-05,0,0
