cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
12,14.9124,36.7275,253.512,607.463
22,2.38906,6.61882,172.012,476.555
51,0,0,103.193,285.894
95,0,0,21.8235,56.0209
305,0,0,118.948,210.604
332,5.32786,14.7607,133.197,369.017
338,0,0,130.614,361.863
374,4.16042,11.5263,135.907,376.527
420,0,0,91.4987,216.998
431,0,0,148.638,411.796
527,0,0,164.591,371.83
576,0,0,42.0791,116.579
654,0,0,169.041,468.324
696,1.2095,3.35088,111.274,308.281
767,0,0,8.27396,22.9228
773,0,0,199.829,553.622
790,0,0,181.698,503.389
800,2.09864,5.04731,67.1565,161.514
814,0,0,81.3181,195.078
918,3.83097,7.50291,101.521,198.987
950,4.18514,11.5948,118.579,328.52
1064,0,0,77.4505,174.497
1101,3.70854,10.2744,118.673,328.781
1145,0,0,148.66,411.858
1182,0,0,2.17435,5.99832
1201,12.4334,34.4463,99.467,275.57
1252,18.5971,51.5227,210.767,583.924
1267,0,0,37.3787,92.7638
1276,0,0,89.1079,246.871
1281,1.46259,3.57582,59.9664,146.609
1408,0,0,142.456,394.671
1442,0,0,220.167,609.965
1451,4.39875,12.1866,316.71,877.436
1571,0,0,168.864,467.832
1671,0,0,198.229,549.188
1679,0,0,222.206,615.615
1715,6.14558,17.0262,178.222,493.759
1745,6.91667,19.1625,126.229,349.715
1774,0,0,215.554,597.187
1786,3.57165,9.89517,126.198,349.629
1810,0,0,67.6618,187.455
1813,0,0,144.97,401.635
1832,0,0,246.763,683.65
1837,7.61611,19.4158,106.626,260.946
1973,11.6546,29.4629,182.588,429.576
1991,0,0,181.165,501.912
2061,0,0,107.446,297.676
2064,0,0,144.877,401.377
2112,6.89177,13.0489,198.483,344.539
2133,2.92477,8.103,181.336,502.386
2134,3.14083,8.70158,144.478,400.273
2183,0,0,228.449,632.913
2326,0,0,129.951,360.025
2431,2.19397,5.29256,173.323,343.314
2435,0,0,21.6435,56.0023
2468,4.1546,11.5102,216.039,598.531
2537,0,0,191.349,530.126
2597,0,0,86.626,239.995
2641,0,0,96.2273,266.595
2731,0,0,7.17922,19.8898
2737,0,0,2.96864,8.06346
2772,0,0,143.35,397.148
2787,0,0,86.0435,238.381
2853,0,0,131.961,365.594
2938,0,0,88.0267,196.766
2980,0,0,185.895,515.016
3023,3.2225,8.92786,235.243,651.734
3035,0,0,119.05,329.824
3075,1.97809,5.00806,51.4304,130.21
3130,0,0,137.957,382.206
3140,0,0,5.22737,13.9955
3176,0,0,104.257,288.842
3288,0.30389,0.807381,11.5478,30.6805
3350,1.83434,4.42973,220.121,461.261
3353,9.18014,25.4333,163.406,452.713
3362,3.67372,9.52894,92.6595,240.341
3363,0,0,46.978,101.423
3396,0,0,10.9783,29.3801
3476,0,0,140.638,290.245
3560,0,0,121.036,335.328
3576,0,0,319.109,884.082
3597,0,0,7.7429,18.5823
3606,0,0,181.406,502.581
3624,0,0,385.913,1069.16
3625,0,0,145.202,301.859
3661,0,0,169.784,470.383
3676,0,0,151.626,420.075
3678,0,0,23.0776,59.3815
3758,0,0,20.0869,49.902
3769,12.6219,34.9686,265.06,734.34
3786,13.7079,37.9773,342.697,949.434
3801,0,0,18.4332,39.4301
3832,0,0,196.215,543.608
3837,0,0,234.741,650.345
3853,0,0,15.1019,38.898
3928,0,0,193.287,535.496
3933,4.5821,12.6946,122.571,339.58
3979,0,0,82.5694,180.186
3993,3.06085,8.47999,58.1561,161.12
3997,0,0,170.427,472.162
4002,0,0,163.449,337.184
4066,2.73876,7.58766,115.028,318.682
4119,5.39941,14.9589,221.376,613.316
4143,1.62676,4.50689,56.9366,157.741
4150,0,0,21.5185,57.3299
4167,0.869432,2.40874,20.8664,57.8097
4172,0,0,3.20755,8.27325
4202,0,0,237.512,658.02
4205,2.00107,5.54392,234.126,648.638
4219,0,0,119.414,330.833
4227,0,0,131.364,363.941
4238,0,0,26.5947,73.6799
4242,0,0,207.349,574.454
4260,6.53746,13.3068,113.316,233.414
4269,0,0,203.964,565.076
4313,4.21862,9.66158,152.473,312.612
4314,0,0,179.194,496.452
4318,6.0419,16.7389,132.922,368.256
4331,0,0,185.414,513.686
4354,1.08543,2.54057,81.4076,158.087
4358,0,0,54.6367,151.369
4385,0,0,46.3641,114.647
4388,0,0,34.9127,96.7246
4392,0,0,181.936,368.487
4393,0,0,48.1821,116.243
4395,0,0,14.9425,41.3978
4413,7.87022,21.8042,287.263,795.854
4415,0,0,81.0458,224.535
4418,2.13967,5.92791,126.241,349.746
4431,0,0,285.953,792.224
4436,1.45639,4.03489,26.215,72.6281
4443,0,0,102.782,284.754
