cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
12,4.47054e-08,6.67296e-08,3.52078e-07,5.29666e-07
22,1.39525e-07,2.73332e-07,1.1162e-06,2.18666e-06
51,3.5532e-08,6.96079e-08,2.84256e-07,5.56863e-07
95,1.29829e-07,2.15364e-07,1.76969e-07,3.46686e-07
305,6.58549e-08,7.73755e-08,5.26839e-07,6.19004e-07
332,3.12821e-08,6.12822e-08,2.50257e-07,4.90258e-07
338,1.53123e-08,2.9997e-08,1.22498e-07,2.39976e-07
365,2.42857e-07,3.41593e-07,0,0
374,1.2018e-07,2.35435e-07,9.61442e-07,1.88348e-06
420,1.22042e-07,1.775e-07,3.94435e-07,6.60556e-07
421,3.09641e-07,6.06594e-07,0,0
431,2.01833e-08,3.95395e-08,1.59176e-07,3.1183e-07
478,2.81201e-07,5.50878e-07,0,0
527,6.27821e-08,1.01409e-07,5.02256e-07,8.1127e-07
576,4.35687e-08,8.5352e-08,3.4855e-07,6.82816e-07
581,7.36951e-08,1.4437e-07,0,0
654,4.2396e-08,8.30546e-08,3.39168e-07,6.64437e-07
696,1.37798e-07,2.6995e-07,1.10239e-06,2.1596e-06
767,2.01435e-08,3.94615e-08,1.45172e-08,2.84395e-08
773,1.66809e-08,3.26782e-08,1.33447e-07,2.61426e-07
790,7.52164e-08,1.4735e-07,6.01731e-07,1.1788e-06
800,7.94165e-08,1.10798e-07,2.78306e-07,5.45207e-07
814,4.50904e-08,6.24338e-08,1.82468e-07,3.57459e-07
918,8.70101e-08,1.20524e-07,6.96081e-07,9.64195e-07
950,2.38941e-07,4.68089e-07,1.91152e-06,3.74471e-06
1047,4.28604e-08,8.39643e-08,0,0
1064,1.63545e-07,2.45856e-07,4.65049e-07,7.59388e-07
1101,4.49413e-08,8.80408e-08,3.5953e-07,7.04327e-07
1145,2.46648e-08,4.83189e-08,1.97319e-07,3.86551e-07
1182,7.66512e-07,1.48879e-06,5.25283e-08,1.02904e-07
1201,6.70239e-08,1.31301e-07,5.36191e-07,1.05041e-06
1252,5.37719e-08,1.0534e-07,4.30175e-07,8.42721e-07
1267,1.9619e-07,2.98907e-07,4.24737e-07,8.32068e-07
1276,9.35196e-09,1.83207e-08,7.48157e-08,1.46565e-07
1281,2.27905e-07,3.33359e-07,1.22193e-06,2.39378e-06
1408,3.50985e-08,6.87586e-08,2.80788e-07,5.50069e-07
1442,8.32703e-09,1.63128e-08,6.66162e-08,1.30503e-07
1451,3.78896e-08,7.42264e-08,3.03117e-07,5.93812e-07
1525,1.23863e-07,2.42649e-07,0,0
1571,2.36878e-08,4.64048e-08,1.89502e-07,3.71238e-07
1670,3.27134e-08,6.40862e-08,0,0
1671,2.52233e-08,4.9413e-08,2.01787e-07,3.95304e-07
1679,4.50033e-09,8.81624e-09,3.60027e-08,7.05299e-08
1715,8.13592e-08,1.59384e-07,6.50874e-07,1.27507e-06
1745,9.63854e-08,1.88821e-07,7.71083e-07,1.51057e-06
1774,2.3196e-08,4.54415e-08,1.85568e-07,3.63532e-07
1786,1.39991e-07,2.74245e-07,1.11993e-06,2.19396e-06
1804,9.92111e-08,1.94356e-07,0,0
1810,7.14337e-08,1.3994e-07,2.66832e-07,5.2273e-07
1813,1.7245e-08,3.37833e-08,1.3796e-07,2.70266e-07
1832,2.70165e-08,5.29258e-08,2.16132e-07,4.23406e-07
1837,6.56503e-08,1.07096e-07,5.25202e-07,8.56768e-07
1838,8.19992e-08,1.60638e-07,0,0
1973,4.29016e-08,6.85496e-08,3.43213e-07,5.48397e-07
1991,1.19596e-08,2.34292e-08,9.56771e-08,1.87433e-07
2003,8.47028e-08,1.65934e-07,0,0
2061,1.55117e-08,3.03876e-08,1.24093e-07,2.43101e-07
2064,1.84064e-08,3.60586e-08,1.47252e-07,2.88469e-07
2075,4.28946e-07,8.40315e-07,0,0
2112,2.41834e-07,2.82099e-07,1.93468e-06,2.25679e-06
2133,1.13969e-07,2.23268e-07,9.11752e-07,1.78614e-06
2134,1.06129e-07,2.07909e-07,8.49032e-07,1.66327e-06
2183,4.52325e-08,8.86113e-08,3.6186e-07,7.08891e-07
2285,2.59784e-07,5.08922e-07,0,0
2326,1.53904e-08,3.01502e-08,1.23124e-07,2.41202e-07
2431,7.5966e-08,1.06936e-07,6.07728e-07,8.55487e-07
2435,1.15508e-07,1.95253e-07,1.38743e-07,2.718e-07
2468,4.01162e-08,7.85883e-08,3.20929e-07,6.28707e-07
2537,5.40027e-08,1.05792e-07,4.32021e-07,8.46339e-07
2597,2.11638e-08,4.14603e-08,1.6931e-07,3.31682e-07
2641,1.73201e-08,3.39304e-08,1.38561e-07,2.71443e-07
2672,2.89435e-07,5.67008e-07,0,0
2731,1.39291e-07,2.72874e-07,7.14617e-08,1.39995e-07
2737,3.36855e-07,6.33796e-07,1.08803e-07,2.13146e-07
2772,1.97651e-08,3.87202e-08,1.58121e-07,3.09762e-07
2787,4.26141e-08,8.34819e-08,3.40913e-07,6.67855e-07
2853,8.841e-09,1.73197e-08,7.0728e-08,1.38558e-07
2911,7.48257e-08,1.46585e-07,0,0
2938,9.27749e-08,1.49007e-07,7.42199e-07,1.19206e-06
2980,8.06908e-09,1.58075e-08,6.45527e-08,1.2646e-07
2996,5.49842e-08,1.07715e-07,0,0
3023,5.17196e-08,1.0132e-07,4.13757e-07,8.10558e-07
3030,7.27621e-08,1.42542e-07,0,0
3035,2.65995e-08,5.21089e-08,2.12796e-07,4.16871e-07
3039,8.16984e-08,1.60049e-07,0,0
3075,8.42563e-08,1.35128e-07,1.40198e-07,2.74652e-07
3130,1.93297e-08,3.78672e-08,1.54637e-07,3.02938e-07
3140,4.14485e-07,7.56416e-07,2.3569e-07,4.6172e-07
3176,2.23805e-08,4.38438e-08,1.79044e-07,3.50751e-07
3200,1.46618e-07,2.87227e-07,0,0
3288,5.48444e-07,9.8429e-07,3.86244e-07,7.5666e-07
3296,4.59565e-08,9.00297e-08,0,0
3342,5.8027e-08,1.13676e-07,0,0
3350,9.08591e-08,1.28299e-07,7.1998e-07,1.01518e-06
3353,9.07757e-08,1.77831e-07,7.26205e-07,1.42265e-06
3362,4.08305e-07,6.94129e-07,2.79571e-06,5.47685e-06
3363,2.377e-07,3.38237e-07,5.97121e-07,8.92913e-07
3392,1.91355e-07,3.74869e-07,0,0
3396,2.73266e-07,4.98232e-07,1.57455e-07,3.08457e-07
3476,1.30358e-08,1.81818e-08,1.04287e-07,1.45455e-07
3491,1.58972e-07,3.11429e-07,0,0
3522,1.1674e-07,2.28696e-07,0,0
3555,2.0685e-07,4.05223e-07,0,0
