cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
21,0,0,59.6494,147.377
64,1.59005,2.53489,76.8522,68.5695
121,0.282572,0.630434,57.9273,84.115
123,1.14339,2.03459,93.7582,107.229
132,0.797578,1.49861,50.8456,79.849
245,0,0,109.423,139.498
299,4.20609,9.64706,93.1348,166.032
305,1.00772,2.6101,39.301,96.2792
343,0,0,75.8822,210.314
385,0.28125,0.52687,42.3281,61.9149
389,0,0,101.312,280.794
407,0,0,69.8579,103.558
410,3.20997,5.49346,72.2244,99.2194
418,0,0,18.8495,45.5186
423,1.61577,2.7107,100.177,122.901
513,0,0,11.2238,15.8295
544,2.58038,5.72565,40.8022,77.8357
546,1.80545,4.32598,93.1613,214.092
555,0,0,175.192,485.56
581,3.47453,7.75634,84.2574,158.813
603,5.25263,10.5753,126.063,247.084
625,0,0,48.5185,93.5789
633,0.234274,0.573523,5.3883,10.8202
687,2.05669,3.29091,72.8654,82.1603
779,0,0,172.169,477.179
809,0,0,148.217,410.794
1014,1.70869,3.48846,59.3771,124.447
1064,0.276185,0.652348,30.1041,56.1944
1081,0,0,94.2532,261.23
1092,0,0,3.13636,7.37028
1180,0.548737,1.30178,37.8629,64.9495
1249,1.09098,2.18378,43.3276,84.6271
1334,0,0,25.5275,46.0275
1348,2.48564,5.85868,88.3358,189.55
1375,2.96141,7.08287,100.096,217.92
1413,0.239067,0.496746,46.1399,48.7207
1426,0,0,37.5589,104.097
1514,0,0,9.37093,18.9963
1600,0,0,10.3412,21.9619
1620,0.769103,1.7989,24.6113,40.7498
1625,0.612992,1.13053,27.789,40.0949
1703,0,0,12.2901,31.8294
1720,2.43246,4.6435,127.299,207.764
1832,0,0,26.3853,42.9468
1867,0,0,80.7536,223.815
1891,0,0,68.6597,190.296
1941,0,0,125.275,347.21
2003,0,0,66.7794,146.401
2078,0.60966,1.44848,31.3975,50.3816
2137,0,0,5.30997,11.7221
2158,0,0,255.73,708.777
2163,1.9436,5.18834,80.3737,209.929
2182,3.94527,9.26432,82.3575,178.929
2197,0,0,17.2898,26.9769
2274,2.7656,5.00229,85.7335,132.219
