Kinetic Energy(MeV),Collision,Radiative,Total,CSDA Range(g/cm2),Radiation Yield,Density Effect Parameter
0.01,22.56,0.003898,22.56,0.0002515,0.00009408,0
0.0125,18.97,0.003927,18.98,0.0003728,0.0001133,0
0.015,16.47,0.003944,16.47,0.0005147,0.0001316,0
0.0175,14.61,0.003955,14.61,0.0006762,0.0001493,0
0.02,13.17,0.003963,13.18,0.0008566,0.0001663,0
0.025,11.09,0.003974,11.1,0.001272,0.000199,0
0.03,9.653,0.003984,9.657,0.001756,0.0002301,0
0.035,8.592,0.003994,8.596,0.002306,0.0002599,0
0.04,7.777,0.004005,7.781,0.002919,0.0002886,0
0.045,7.13,0.004018,7.134,0.003591,0.0003165,0
0.05,6.603,0.004031,6.607,0.00432,0.0003435,0
0.055,6.166,0.004046,6.17,0.005103,0.0003698,0
0.06,5.797,0.004062,5.801,0.00594,0.0003955,0
0.07,5.207,0.004098,5.211,0.007762,0.0004453,0
0.08,4.757,0.004138,4.761,0.009773,0.0004931,0
0.09,4.402,0.004181,4.407,0.01196,0.0005393,0
0.1,4.115,0.004228,4.119,0.01431,0.0005842,0
0.125,3.591,0.004355,3.596,0.02083,0.0006912,0
0.15,3.238,0.004494,3.242,0.02817,0.0007926,0
0.175,2.984,0.004643,2.988,0.03622,0.0008894,0
0.2,2.793,0.004801,2.798,0.04488,0.0009826,0
0.25,2.528,0.005141,2.533,0.06372,0.001161,0
0.3,2.355,0.005514,2.36,0.08421,0.001331,0
0.35,2.235,0.005914,2.241,0.106,0.001496,0
0.4,2.148,0.006339,2.154,0.1288,0.001658,0
0.45,2.083,0.006787,2.09,0.1523,0.001818,0
0.5,2.034,0.007257,2.041,0.1766,0.001976,0
0.55,1.995,0.007747,2.003,0.2013,0.002134,0.01103
0.6,1.963,0.008254,1.972,0.2265,0.002292,0.02938
0.7,1.917,0.009313,1.926,0.2778,0.002608,0.07435
0.8,1.886,0.01042,1.896,0.3302,0.002928,0.1267
0.9,1.864,0.01159,1.876,0.3832,0.003251,0.1835
1,1.849,0.0128,1.862,0.4367,0.003579,0.2428
1.25,1.829,0.016,1.845,0.5717,0.004416,0.3944
1.5,1.822,0.01942,1.841,0.7075,0.005281,0.5437
1.75,1.821,0.02303,1.844,0.8432,0.006171,0.6866
2,1.824,0.02678,1.85,0.9785,0.007085,0.8218
2.5,1.834,0.03468,1.868,1.247,0.008969,1.069
3,1.846,0.04299,1.889,1.514,0.01092,1.288
3.5,1.858,0.05164,1.91,1.777,0.01291,1.484
4,1.87,0.06058,1.931,2.037,0.01495,1.66
4.5,1.882,0.06976,1.951,2.295,0.01702,1.821
5,1.892,0.07917,1.971,2.55,0.01911,1.967
5.5,1.902,0.08876,1.991,2.802,0.02123,2.102
6,1.911,0.09854,2.01,3.052,0.02336,2.227
7,1.928,0.1185,2.047,3.545,0.02766,2.453
8,1.943,0.1391,2.082,4.03,0.032,2.652
9,1.956,0.1601,2.116,4.506,0.03636,2.831
10,1.968,0.1814,2.149,4.975,0.04072,2.992
12.5,1.993,0.2362,2.23,6.117,0.05163,3.341
15,2.014,0.2926,2.306,7.219,0.06243,3.633
17.5,2.031,0.3501,2.381,8.286,0.07309,3.885
20,2.046,0.4086,2.454,9.32,0.08355,4.107
25,2.07,0.5277,2.598,11.3,0.1039,4.487
30,2.089,0.6489,2.738,13.17,0.1233,4.806
35,2.105,0.7716,2.876,14.96,0.1418,5.082
40,2.118,0.8955,3.013,16.65,0.1594,5.326
45,2.129,1.021,3.15,18.28,0.1762,5.544
50,2.139,1.146,3.286,19.83,0.1923,5.741
55,2.148,1.273,3.421,21.32,0.2076,5.921
60,2.156,1.4,3.556,22.76,0.2222,6.087
70,2.17,1.656,3.827,25.47,0.2496,6.383
80,2.182,1.914,4.096,27.99,0.2747,6.641
90,2.193,2.173,4.366,30.35,0.2978,6.871
100,2.202,2.434,4.636,32.58,0.3192,7.077
125,2.222,3.089,5.311,37.61,0.3662,7.516
150,2.238,3.749,5.987,42.04,0.406,7.876
175,2.251,4.412,6.663,46,0.4401,8.182
200,2.263,5.078,7.341,49.57,0.4698,8.447
250,2.282,6.416,8.698,55.82,0.519,8.891
300,2.297,7.76,10.06,61.16,0.5584,9.254
350,2.311,9.107,11.42,65.83,0.5908,9.561
400,2.322,10.46,12.78,69.96,0.618,9.827
450,2.332,11.81,14.14,73.68,0.6412,10.06
500,2.341,13.17,15.51,77.06,0.6613,10.27
550,2.349,14.53,16.88,80.14,0.6789,10.46
600,2.357,15.89,18.24,82.99,0.6945,10.64
700,2.37,18.61,20.98,88.1,0.7209,10.94
800,2.381,21.33,23.71,92.58,0.7425,11.21
900,2.391,24.06,26.45,96.57,0.7605,11.45
1000,2.4,26.79,29.19,100.2,0.7759,11.66
