cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
9,4.62412e-09,9.06237e-09,3.6993e-08,7.2499e-08
18,3.60761e-09,7.07021e-09,2.88609e-08,5.65617e-08
19,4.48136e-08,8.78258e-08,0,0
22,1.60057e-08,3.13681e-08,3.82096e-08,7.48832e-08
34,7.44439e-08,1.36859e-07,3.8184e-08,7.48332e-08
44,5.41767e-08,7.34692e-08,1.50783e-07,1.9676e-07
132,1.49603e-08,2.08477e-08,1.19682e-07,1.66782e-07
217,6.1959e-09,1.21427e-08,4.95672e-08,9.7142e-08
221,2.81409e-08,5.51507e-08,0,0
251,1.17706e-07,1.37763e-07,6.30926e-08,1.02486e-07
261,7.39406e-08,8.88669e-08,2.85856e-07,3.83015e-07
280,3.60534e-09,7.06577e-09,2.88428e-08,5.65262e-08
293,5.69172e-08,7.57051e-08,1.56513e-07,1.54601e-07
304,1.2223e-07,1.37556e-07,1.96512e-07,2.26894e-07
312,1.04934e-07,1.9702e-07,3.60273e-08,7.06064e-08
338,1.66105e-08,3.25534e-08,1.32884e-07,2.60427e-07
352,2.42783e-07,1.24752e-07,6.49316e-07,3.51671e-07
365,5.05844e-08,9.91354e-08,0,0
389,2.55658e-08,4.15935e-08,3.93566e-08,7.71313e-08
433,3.54556e-08,4.13238e-08,7.02088e-08,1.37596e-07
502,3.11649e-09,6.1077e-09,2.49319e-08,4.88616e-08
541,4.50742e-07,2.83765e-07,1.01186e-06,5.51999e-07
574,1.4237e-08,1.9821e-08,5.14006e-08,1.00735e-07
581,3.38022e-08,5.63309e-08,4.48876e-08,8.7971e-08
640,1.02556e-06,5.34096e-07,3.96938e-06,2.87716e-06
655,2.96767e-09,5.81606e-09,2.37414e-08,4.65285e-08
658,8.20338e-08,9.46268e-08,1.46612e-07,2.0339e-07
678,1.124e-06,5.71762e-07,3.11337e-06,2.17357e-06
683,6.95522e-08,1.36309e-07,2.56574e-07,5.02834e-07
740,2.7881e-07,2.49296e-07,3.81609e-07,2.51882e-07
746,2.82001e-09,5.52666e-09,2.25601e-08,4.42133e-08
748,3.48494e-07,4.08133e-07,3.11942e-07,5.29098e-07
763,2.03259e-07,3.98348e-07,0,0
767,4.49139e-07,4.17934e-07,1.16873e-06,7.71071e-07
770,5.60405e-07,4.19573e-07,6.37211e-07,5.45021e-07
779,3.72035e-07,2.4417e-07,4.26914e-07,3.49088e-07
791,4.54122e-08,7.47759e-08,6.28946e-08,1.06194e-07
812,6.41552e-08,8.06701e-08,2.40832e-07,3.72087e-07
824,2.91406e-07,2.75318e-07,7.64065e-07,8.59753e-07
831,9.3485e-08,1.83212e-07,9.54596e-08,1.87082e-07
873,5.08557e-08,8.92914e-08,3.28657e-07,5.62597e-07
878,4.96408e-07,4.35538e-07,5.19247e-07,3.87713e-07
909,4.98622e-07,4.02427e-07,9.37615e-07,5.82427e-07
